#ClusterName #ID Mass LogTeff Logg Av "Log age" DistMod G sigG Bp sigBp Rp sigRp BP-RP MG BP-RP_0 BP-RP_0_lim allDeltas
NGC_6494 2273987967057930863B 1.071 3.791 4.486 1.27135 8.57978 9.35202 14.95164 0.00057 15.52621 0.0011 14.20039 0.00082 1.3258200000000002 4.4681185 0.7141975675675678 -0.055766598787442945 0.018848143112172977
NGC_6494 2273987967057929580* 9999.0 9999.0 9999.0 1.33424 8.57978 9.35202 15.72466 0.0005 16.40528 0.00194 14.87972 0.00112 1.5255600000000005 5.1851664 0.8836823783783788 -0.055766598787442945 -0.04051443942965083
NGC_6494 2273987966923707347 0.96983 3.7508 4.556 1.37395 8.57978 9.35202 15.54578 0.00059 16.20334 0.00165 14.72476 0.00105 1.478580000000001 4.970944500000001 0.8175986486486496 -0.055766598787442945 0.029202237279251975
NGC_6494 2273987967057927459* 9999.0 9999.0 9999.0 1.02173 8.57978 9.35202 14.4589 0.00046 15.02632 0.00086 13.71262 0.00069 1.3137000000000008 4.1975403 0.8221650270270278 -0.055766598787442945 -0.7645737450828713
NGC_6494 2273987966923715523 0.81103 3.6982 4.635 1.40594 8.57978 9.35202 16.4316 0.00065 17.21937 0.00346 15.51403 0.00165 1.7053400000000014 5.8282934 1.0289688648648663 -0.055766598787442945 0.049783291682715
NGC_6494 2273987967057926175* 9999.0 9999.0 9999.0 1.15275 8.57978 9.35202 17.80536 0.00078 18.92052 0.01368 16.68514 0.00404 2.2353799999999993 7.427392500000001 1.680813783783783 -0.055766598787442945 -0.0022661911112900057
NGC_6494 2273987966923704540 1.19521 3.8029 4.409 1.09982 8.57978 9.35202 14.45256 0.00056 14.95134 0.00084 13.76883 0.0007 1.1825100000000006 4.1217002 0.6534074054054061 -0.055766598787442945 -0.01271449032061156
NGC_6494 2273987967057924901* 9999.0 9999.0 9999.0 1.23094 8.57978 9.35202 13.21826 0.00045 13.69065 0.00057 12.56138 0.00054 1.12927 2.7707034000000013 0.5370880540540541 -0.055766598787442945 -0.7418553866880866
NGC_6494 2273987967057929372* 9999.0 9999.0 9999.0 1.35911 8.57978 9.35202 16.09214 0.00052 16.82962 0.0027 15.20458 0.00133 1.6250399999999985 5.530512100000001 0.9711978918918904 -0.055766598787442945 -0.03867543625401204
NGC_6494 2273987967057924796A 1.59492 3.8878 4.282 1.39869 8.57978 9.35202 13.23567 0.00054 13.63109 0.00057 12.65564 0.00054 0.9754500000000004 2.638815900000001 0.30256670270270314 -0.055766598787442945 0.0514302006512497
NGC_6494 2273987967057930892* 9999.0 9999.0 9999.0 1.07071 8.57978 9.35202 17.9789 0.00084 19.17302 0.02032 16.825 0.00421 2.3480200000000018 7.6739481 1.8329216756756774 -0.055766598787442945 0.5077533346427714
NGC_6494 2273987967057923121* 9999.0 9999.0 9999.0 1.34054 8.57978 9.35202 16.84731 0.00059 17.72663 0.00541 15.87091 0.00206 1.8557199999999998 6.302209400000001 1.2108115675675672 -0.055766598787442945 -0.05093882963034879
NGC_6494 2273987966923713690 1.34742 3.8312 4.322 1.21006 8.57978 9.35202 13.9259 0.00055 14.39102 0.00068 13.27309 0.00061 1.1179299999999994 3.496926600000001 0.5357930270270266 -0.055766598787442945 -0.008848058634490119
NGC_6494 2273987967057926483* 9999.0 9999.0 9999.0 1.21688 8.57978 9.35202 14.34817 0.00046 14.87297 0.00082 13.63724 0.00067 1.2357300000000002 3.9131268 0.6503120540540543 -0.055766598787442945 -0.20488042067212442
NGC_6494 2273987967057929027* 9999.0 9999.0 9999.0 1.19186 8.57978 9.35202 13.89632 0.00046 14.35824 0.00068 13.24481 0.00061 1.113430000000001 3.4835446 0.5400487027027038 -0.055766598787442945 -0.04455413148474108
