#ClusterName,#ID,Mass,LogTeff,Logg,Av,Log age,DistMod,G,Bp,Rp
NGC_6494,2273987966923702688,0.60423,3.5956,4.696,1.11912,8.57978,9.35202,17.85614,18.98907,16.73763
NGC_6494,2273987967057920418*,9999.0,9999.0,9999.0,1.16306,8.57978,9.35202,15.22958,15.82492,14.45855
NGC_6494,2273987967057920418A,1.0282,3.7665,4.52,1.16306,8.57978,9.35202,15.23629,15.82696,14.47032
NGC_6494,2273987967057920418B,0.312,3.535,4.712,1.16306,8.57978,9.35202,20.75589,22.64481,19.37741
NGC_6494,2273987966923702692,0.44974,3.5368,4.821,1.13132,8.57978,9.35202,20.18315,21.92791,18.84087
NGC_6494,2273987967057920422*,9999.0,9999.0,9999.0,1.44118,8.57978,9.35202,20.05413,21.96944,18.66924
NGC_6494,2273987967057920422A,0.35353,3.5142,4.917,1.44118,8.57978,9.35202,20.42271,22.27033,19.0541
NGC_6494,2273987967057920422B,0.266,3.525,4.41,1.44118,8.57978,9.35202,21.40622,23.50971,19.98204
NGC_6494,2273987966923702699,0.59435,3.5908,4.701,1.1813,8.57978,9.35202,18.78029,20.18483,17.54593
NGC_6494,2273987967057920429*,9999.0,9999.0,9999.0,1.41921,8.57978,9.35202,17.30604,18.31651,16.24925
NGC_6494,2273987967057920429A,0.74505,3.6712,4.661,1.41921,8.57978,9.35202,17.33919,18.32948,16.29528
NGC_6494,2273987967057920429B,0.334,3.535,4.477,1.41921,8.57978,9.35202,21.11086,23.12965,19.70367
NGC_6494,2273987966923702703,1.53475,3.8727,4.282,1.43703,8.57978,9.35202,13.34809,13.76544,12.74488
NGC_6494,2273987967057920436*,9999.0,9999.0,9999.0,1.09511,8.57978,9.35202,17.1963,18.15692,16.16776
NGC_6494,2273987967057920436A,0.70885,3.651,4.663,1.09511,8.57978,9.35202,17.22309,18.16707,16.20582
NGC_6494,2273987967057920436B,0.271,3.525,4.369,1.09511,8.57978,9.35202,21.22925,23.23518,19.82476
NGC_6494,2273987966923702710,0.37766,3.5198,4.895,1.37595,8.57978,9.35202,20.59419,22.47395,19.21787
NGC_6494,2273987966923702711,0.35165,3.5137,4.919,1.30613,8.57978,9.35202,20.31665,22.11872,18.9594
NGC_6494,2273987966923702712,0.77617,3.6845,4.65,1.25033,8.57978,9.35202,16.7852,17.62666,15.83158
NGC_6494,2273987966923702713,0.43698,3.5338,4.835,1.1871,8.57978,9.35202,20.10744,21.84431,18.76728
NGC_6494,2273987966923702714,1.88836,3.9424,4.248,1.36476,8.57978,9.35202,12.45408,12.72909,12.01057
NGC_6494,2273987966923702715,0.49007,3.5491,4.779,1.18039,8.57978,9.35202,19.68162,21.32263,18.36861
NGC_6494,2273987966923702716,0.49541,3.5508,4.774,1.25839,8.57978,9.35202,19.78435,21.46079,18.46101
NGC_6494,2273987966923702717,0.63526,3.6115,4.683,1.32243,8.57978,9.35202,18.3036,19.57692,17.12135
NGC_6494,2273987967057920447*,9999.0,9999.0,9999.0,1.22231,8.57978,9.35202,14.05338,14.5537,13.36572
NGC_6494,2273987967057920447A,1.28787,3.8202,4.353,1.22231,8.57978,9.35202,14.09693,14.57974,13.42857
NGC_6494,2273987967057920447B,0.666,3.635,4.69,1.22231,8.57978,9.35202,17.56691,18.61673,16.49056
NGC_6494,2273987967057920450*,9999.0,9999.0,9999.0,1.23357,8.57978,9.35202,13.12702,13.58767,12.48
NGC_6494,2273987967057920450A,1.37386,3.8362,4.311,1.23357,8.57978,9.35202,13.67307,14.11625,13.04358
NGC_6494,2273987967057920450B,1.295,3.807,4.353,1.23357,8.57978,9.35202,14.13485,14.6228,13.46157
NGC_6494,2273987966923702724,0.44319,3.5353,4.828,1.45847,8.57978,9.35202,20.34278,22.17467,18.97805
NGC_6494,2273987966923702725,0.5984,3.5926,4.698,1.14748,8.57978,9.35202,18.79615,20.20305,17.56091
NGC_6494,2273987966923702726,0.51142,3.556,4.759,1.3567,8.57978,9.35202,19.34086,20.92064,18.04652
NGC_6494,2273987967057920456*,9999.0,9999.0,9999.0,1.19669,8.57978,9.35202,17.68155,18.818,16.55957
NGC_6494,2273987967057920456A,0.68674,3.639,4.668,1.19669,8.57978,9.35202,17.74612,18.8495,16.6422
NGC_6494,2273987967057920456B,0.312,3.535,4.712,1.19669,8.57978,9.35202,20.77793,22.67731,19.39702
NGC_6494,2273987966923702730,1.51972,3.8689,4.282,1.24815,8.57978,9.35202,13.1411,13.50982,12.58953
NGC_6494,2273987966923702731,0.39718,3.5243,4.877,1.33801,8.57978,9.35202,20.74235,22.65285,19.35887
NGC_6494,2273987967057920464*,9999.0,9999.0,9999.0,1.4459,8.57978,9.35202,21.59247,24.0152,20.11442
