#RA_ICRS_1 DE_ICRS_1 source_id GLON_1 GLAT_1 Plx_1 e_Plx_1 pmRA__1 e_pmRA__1 pmDE_1 e_pmDE_1 RV e_RV RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor o_Gmag Gmag BP-RP proba Cluster_1 Teff50 _RA_icrs_1 _DE_icrs_1 Cluster_2 RA_ICRS_2 DE_ICRS_2 GLON_2 GLAT_2 r50 nbstars07 pmRA__2 e_pmRA__2 pmDE_2 e_pmDE_2 plx_2 e_plx_2 Flag AgeNN AVNN DMNN DistPc X Y Z Rgc SimbadName _RA_icrs_2 _DE_icrs_2 GroupID_1 GroupSize_1 phot_g_mean_flux_over_error phot_bp_mean_flux_over_error phot_rp_mean_flux_over_error gaiadr2 cluster GroupID GroupSize MG BP-RP_0 BP-RP_0_lim allDeltas
274.3514099121094 -19.710731506347656 4094457164432485888 11.5957601805307 -1.70953903345506 0.7132217123281971 0.04634436219930649 1.83360762141829 0.08942445367574692 -1.19567659597524 0.07119937986135483 0.0 0.0 0.019477399066090584 0.009695659391582012 -0.05360002443194389 -0.2982705533504486 -0.4798308312892914 -0.31023669242858887 -0.12468262761831284 0.1302289 -0.10813453 -0.23722370000000004 157 10.50546646118164 0.23037243 0.8999999761581421 Dias_5 8295.3818359375 274.35137939453125 -19.710725784301758 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 987.39990234375 302.9001159667969 489.3715515136719 4094457164432485888 Dias_5 "" "" -0.9111334681510925 -0.22184377798110963 -0.504119873046875 -0.02215872582701861
274.27972412109375 -19.724720001220703 4094467536744093440 11.551437625057602 -1.65675986002858 0.742577557934569 0.056478533893823624 1.75363751598747 0.09370844066143036 -0.9413642836274291 0.07859840244054794 0.0 0.0 0.15534968674182892 -0.109006866812706 -0.3492262065410614 -0.1661694049835205 -0.49191176891326904 -0.009658553637564182 -0.4531649947166443 -0.23267986000000002 0.14409195000000002 -0.06260643 133 11.09382438659668 0.2896471 0.8999999761581421 Dias_5 11873.2822265625 274.27972412109375 -19.724716186523438 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 1656.211181640625 300.8957824707031 634.0093994140625 4094467536744093440 Dias_5 "" "" -0.32277554273605347 -0.16256910798110963 -0.504119873046875 0.15442592026427765
274.2882385253906 -19.72637939453125 4094455888792786816 11.553776415956701 -1.66459990980659 0.725198685624359 0.04649806767702103 1.67773159715569 0.0845453217625618 -1.22107576512054 0.07479534298181534 0.0 0.0 0.3496437072753906 -0.2327425330877304 -0.2863501012325287 -0.36848026514053345 -0.2871186435222626 -0.27473101019859314 -0.41883474588394165 -0.20337334 0.090010405 0.19915959000000003 129 11.849272727966309 0.36569786000000004 0.8999999761581421 Dias_5 6965.6376953125 274.2882385253906 -19.72637367248535 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 3328.738525390625 270.93670654296875 669.1961669921875 4094455888792786816 Dias_5 "" "" 0.43267279863357544 -0.08651834798110958 -0.504119873046875 0.44754686482656475
274.40972900390625 -19.795146942138672 4094452938184592768 11.5474011009265 -1.7978744092272898 0.8628658568144051 0.038937024772167206 1.9741164611544 0.07841481268405914 -1.24907602701125 0.06697572022676468 0.0 0.0 0.29891589283943176 -0.0675056129693985 -0.39918315410614014 -0.32076796889305115 -0.23439855873584747 -0.26760730147361755 -0.4880775511264801 -0.14472780000000002 -0.00081324717 0.12519288 155 11.226880073547363 0.4036712600000001 0.800000011920929 Dias_5 6534.7041015625 274.40972900390625 -19.795141220092773 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 1206.8748779296875 218.82928466796875 671.7960205078125 4094452938184592768 Dias_5 "" "" -0.18971985578536987 -0.04854494798110953 -0.504119873046875 -0.3815118212240664
274.41278076171875 -19.690717697143555 4094457641139442048 11.640787582273703 -1.75095875234337 0.760935865478908 0.040273960679769516 1.80250613633808 0.07577110081911087 -1.09194732230143 0.06195037439465523 0.0 0.0 0.051031917333602905 0.049390245229005814 -0.03442622348666191 -0.4095146358013153 -0.4485868513584137 -0.37689054012298584 -0.1420976221561432 0.044041764 -0.07512247000000001 -0.113417074 170 11.849296569824219 0.49447060000000004 1.0 Dias_5 5908.83984375 274.41278076171875 -19.69071388244629 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 3770.034912109375 314.9656066894531 1150.976318359375 4094457641139442048 Dias_5 "" "" 0.4326966404914856 0.04225439201889042 -0.504119873046875 -0.19857503623529082
274.4116516113281 -19.65782928466797 4094457847309044352 11.669264597477 -1.73444840419734 0.722847340809671 0.042478322982788086 2.19883643753204 0.08608506619930267 -1.14746132392193 0.06729462742805481 0.0 0.0 0.05284726992249489 0.05150771886110306 -0.0199260450899601 -0.3343051075935364 -0.4189864695072174 -0.35069775581359863 -0.14828872680664062 0.15251395 -0.09655026 -0.15499510000000002 150 12.086221694946289 0.5100660300000001 0.8999999761581421 Dias_5 0.0 274.4116516113281 -19.65782356262207 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 4454.4736328125 259.3490295410156 740.1255493164062 4094457847309044352 Dias_5 "" "" 0.6696217656135559 0.05784982201889044 -0.504119873046875 -0.030367149516896563
274.4050598144531 -19.67176628112793 4094457817267507456 11.6540376047237 -1.7355732556602899 0.725768595532431 0.03763679787516594 1.87550517220386 0.06521184742450714 -1.08162128957306 0.05244298279285431 0.0 0.0 -0.10516081005334854 0.15947656333446503 0.04505770653486252 -0.4390498697757721 -0.5257152318954468 -0.38123267889022827 -0.09066561609506607 0.0039520464 -0.029488683 -0.12449394000000001 156 12.92982006072998 0.54903316 1.0 Dias_5 6135.08349609375 274.4050598144531 -19.671762466430664 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 1698.4949951171875 318.3346252441406 623.2255859375 4094457817267507456 Dias_5 "" "" 1.5132200717926025 0.0968169520188904 -0.504119873046875 0.6489934791922791
274.4082336425781 -19.785585403442383 4094453006904073728 11.5551638538959 -1.7921136951824899 0.768928135178817 0.04274282976984978 1.73291055895619 0.0770198404788971 -1.09521371048883 0.06570499390363693 0.0 0.0 0.3767359256744385 -0.17974840104579926 -0.37333324551582336 -0.35347846150398254 -0.35761934518814087 -0.2569102942943573 -0.4927290976047516 -0.14904624 0.04108714 0.12189188000000001 149 11.882256507873535 0.5972767 1.0 Dias_5 9842.2470703125 274.4082336425781 -19.785579681396484 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 2094.814453125 260.9657287597656 513.5598754882812 4094453006904073728 Dias_5 "" "" 0.465656578540802 0.14506049201889037 -0.504119873046875 -0.5887266608955917
274.43255615234375 -19.653648376464844 4094551683743447680 11.6822647424425 -1.74978728655176 0.745091282762342 0.04028738662600517 1.99941263280753 0.08407337218523026 -1.01333901704934 0.06677226722240448 0.0 0.0 -0.021296903491020203 -0.0047904509119689465 0.01280978973954916 -0.392100065946579 -0.40134063363075256 -0.3948914706707001 -0.08327188342809677 0.09482125 -0.10953921 -0.26880467 149 12.758798599243164 0.6218443 1.0 Dias_5 10644.505859375 274.4325256347656 -19.653644561767578 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 3679.65625 431.5369567871094 983.7865600585938 4094551683743447680 Dias_5 "" "" 1.3421986103057861 0.1696280920188904 -0.504119873046875 0.19588291663853208
274.3958435058594 -19.75998306274414 4094456064920803328 11.57219123403 -1.7697037481041997 0.7996195423165221 0.027852023020386696 1.78858086207762 0.05797063931822777 -0.96283229338337 0.04760368540883064 0.0 0.0 0.1426020711660385 0.07757829874753952 -0.141334667801857 -0.4686531126499176 -0.33634790778160095 -0.4428815543651581 -0.23326440155506134 0.047218844 -0.16453595000000001 -0.0984165 144 13.009815216064453 0.7669916 1.0 Dias_5 5431.158203125 274.39581298828125 -19.759977340698242 Dias_5 274.385009765625 -19.707000732421875 11.61400032043457 -1.7359999418258667 0.07800000160932541 61 1.7979999780654907 0.2619999945163727 -0.9449999928474426 0.3109999895095825 0.7440000176429749 0.07999999821186066 NN 6.980000019073486 0.9399999976158142 10.579999923706055 1303.0 1276.0 262.0 -39.0 7068.0 "Cl Dias 5" 274.385009765625 -19.707000732421875 1123 61 2389.652099609375 426.7422180175781 800.5032958984375 4094456064920803328 Dias_5 "" "" 1.5932152271270752 0.3147753920188904 -0.504119873046875 -0.04574779993163536
