#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
ASCC_21                  , 1891097903137728816 ,    0.89707,    3.63660,    4.29400,    0.81348,    6.94988,   10.73064,   17.52384,    0.00085,   18.48995,    0.00992,   16.49451,    0.00336 
ASCC_21                  , 1891097903271946546*, 9999.00000, 9999.00000, 9999.00000,    0.72994,    6.94988,   10.73064,   14.94654,    0.00047,   15.47628,    0.00108,   14.23204,    0.00083 
ASCC_21                  , 1891097903137728820 ,    0.29115,    3.48060,    4.06900,    0.75769,    6.94988,   10.73064,   20.49948,    0.00529,   22.57215,    0.40614,   19.10109,    0.03137 
ASCC_21                  , 1891097903137728821 ,    1.37569,    3.73280,    4.20000,    0.66793,    6.94988,   10.73064,   15.39451,    0.00058,   15.94614,    0.00140,   14.66705,    0.00102 
ASCC_21                  , 1891097903271946551*, 9999.00000, 9999.00000, 9999.00000,    0.67422,    6.94988,   10.73064,   19.12220,    0.00157,   20.72838,    0.07790,   17.78012,    0.01000 
ASCC_21                  , 1891097903271946554*, 9999.00000, 9999.00000, 9999.00000,    0.86865,    6.94988,   10.73064,   19.71900,    0.00238,   21.80685,    0.16338,   18.32596,    0.01614 
ASCC_21                  , 1891097903271946560A,    2.93950,    4.09660,    4.35700,    0.81402,    6.94988,   10.73064,   12.35189,    0.00054,   12.42959,    0.00049,   12.17987,    0.00051 
ASCC_21                  , 1891097903271946560B,    0.38200,    3.54500,    4.73000,    0.81402,    6.94988,   10.73064,   19.85923,    0.00315,   21.41628,    0.18434,   18.47718,    0.01818 
ASCC_21                  , 1891097903137728834 ,    0.33626,    3.49210,    4.08600,    0.71146,    6.94988,   10.73064,   20.05694,    0.00368,   22.07960,    0.23170,   18.67383,    0.02155 
ASCC_21                  , 1891097903271946564*, 9999.00000, 9999.00000, 9999.00000,    0.71357,    6.94988,   10.73064,   17.43680,    0.00069,   18.46272,    0.00940,   16.36741,    0.00310 
ASCC_21                  , 1891097903271946567*, 9999.00000, 9999.00000, 9999.00000,    0.70263,    6.94988,   10.73064,   16.44376,    0.00054,   17.21370,    0.00331,   15.53156,    0.00172 
ASCC_21                  , 1891097903271946573*, 9999.00000, 9999.00000, 9999.00000,    0.77031,    6.94988,   10.73064,   19.72889,    0.00239,   21.75608,    0.16616,   18.31194,    0.01620 
ASCC_21                  , 1891097903271946582*, 9999.00000, 9999.00000, 9999.00000,    0.79256,    6.94988,   10.73064,   19.10734,    0.00155,   20.81864,    0.07904,   17.75836,    0.00979 
ASCC_21                  , 1891097903137728856 ,    0.29978,    3.48300,    4.07200,    0.80948,    6.94988,   10.73064,   20.60090,    0.00575,   23.03945,    0.46253,   19.13292,    0.03413 
ASCC_21                  , 1891097903271946586A,    2.70723,    4.07220,    4.36200,    0.74226,    6.94988,   10.73064,   12.44042,    0.00054,   12.50916,    0.00049,   12.28214,    0.00051 
ASCC_21                  , 1891097903271946586B,    1.22100,    3.79600,    4.39400,    0.74226,    6.94988,   10.73064,   16.06136,    0.00062,   16.70999,    0.00234,   15.24782,    0.00140 
ASCC_21                  , 1891097903137728860 ,    2.16237,    4.00200,    4.36200,    0.72519,    6.94988,   10.73064,   12.96722,    0.00054,   13.05750,    0.00052,   12.77562,    0.00055 
ASCC_21                  , 1891097903137728861 ,    0.33223,    3.49110,    4.08500,    0.73490,    6.94988,   10.73064,   20.04429,    0.00365,   21.50247,    0.22925,   18.68180,    0.02134 
ASCC_21                  , 1891097903137728862 ,    0.24800,    3.46820,    4.05400,    0.78298,    6.94988,   10.73064,   20.94304,    0.00771,   23.19552,    0.70772,   19.48058,    0.04596 
ASCC_21                  , 1891097903137728863 ,    0.47223,    3.51970,    4.13000,    0.73015,    6.94988,   10.73064,   19.43606,    0.00233,   21.10198,    0.11133,   18.10046,    0.01300 
ASCC_21                  , 1891097903137728864 ,    0.43157,    3.51190,    4.11600,    0.74957,    6.94988,   10.73064,   19.73037,    0.00288,   21.49695,    0.15885,   18.39391,    0.01651 
ASCC_21                  , 1891097903137728865 ,    0.23775,    3.46520,    4.05000,    0.69530,    6.94988,   10.73064,   20.80625,    0.00680,   22.78285,    0.58409,   19.42799,    0.04053 
ASCC_21                  , 1891097903137728866 ,    0.27509,    3.47620,    4.06400,    0.83118,    6.94988,   10.73064,   20.85217,    0.00700,   22.95253,    0.61829,   19.41336,    0.04165 
ASCC_21                  , 1891097903271946596*, 9999.00000, 9999.00000, 9999.00000,    0.68591,    6.94988,   10.73064,   18.69961,    0.00121,   20.42682,    0.05045,   17.39125,    0.00705 
ASCC_21                  , 1891097903137728870 ,    0.48382,    3.52190,    4.13400,    0.68440,    6.94988,   10.73064,   19.46446,    0.00237,   21.18940,    0.11393,   18.12479,    0.01324 
ASCC_21                  , 1891097903137728874 ,    0.43311,    3.51220,    4.11700,    0.75045,    6.94988,   10.73064,   19.74118,    0.00290,   21.63517,    0.16046,   18.34914,    0.01662 
ASCC_21                  , 1891097903137728875 ,    0.51713,    3.52840,    4.14500,    0.83426,    6.94988,   10.73064,   19.25519,    0.00205,   20.95735,    0.08893,   17.95196,    0.01118 
ASCC_21                  , 1891097903137728876 ,    0.25608,    3.47060,    4.05700,    0.73413,    6.94988,   10.73064,   20.61262,    0.00578,   23.00151,    0.46292,   19.25196,    0.03438 
ASCC_21                  , 1891097903271946606*, 9999.00000, 9999.00000, 9999.00000,    0.80187,    6.94988,   10.73064,   20.28218,    0.00367,   21.88040,    0.31547,   18.82226,    0.02582 
