#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
UPK_53                   , 2243063188914482429*, 9999.00000, 9999.00000, 9999.00000,    0.08591,    8.65992,    5.00000,   18.34391,   21.19912,   16.81152 
UPK_53                   , 2243063188914482429A,    0.11514,    3.41770,    5.09800,    0.08591,    8.65992,    5.00000,   19.04414,   21.84311,   17.51802 
UPK_53                   , 2243063188914482429B,    0.08100,    3.37900,    5.34000,    0.08591,    8.65992,    5.00000,   19.15149,   22.07236,   17.61222 
UPK_53                   , 2243063188780264703 ,    0.10365,    3.40040,    5.10200,    0.09130,    8.65992,    5.00000,   19.32020,   22.23420,   17.78165 
UPK_53                   , 2243063188780264704 ,    0.11144,    3.41220,    5.10000,    0.07699,    8.65992,    5.00000,   19.51871,   22.43422,   17.98000 
UPK_53                   , 2243063188914482434*, 9999.00000, 9999.00000, 9999.00000,    0.07971,    8.65992,    5.00000,   17.81813,   20.41581,   16.31513 
UPK_53                   , 2243063188914482434A,    0.15624,    3.45410,    5.05500,    0.07971,    8.65992,    5.00000,   18.30773,   20.75761,   16.82580 
UPK_53                   , 2243063188914482434B,    0.07300,    3.20400,    5.36000,    0.07971,    8.65992,    5.00000,   18.91846,   21.83711,   17.37942 
UPK_53                   , 2243063188780264708 ,    0.39246,    3.52280,    4.88200,    0.07541,    8.65992,    5.00000,   15.50524,   17.02624,   14.22990 
UPK_53                   , 2243063188914482438*, 9999.00000, 9999.00000, 9999.00000,    0.08132,    8.65992,    5.00000,   16.25298,   18.18242,   14.86517 
UPK_53                   , 2243063188914482438A,    0.22585,    3.48390,    5.00600,    0.08132,    8.65992,    5.00000,   17.04588,   18.98979,   15.65483 
UPK_53                   , 2243063188914482438B,    0.22000,    3.52300,    4.89900,    0.08132,    8.65992,    5.00000,   16.96667,   18.88282,   15.58188 
UPK_53                   , 2243063188780264712 ,    0.21662,    3.48070,    5.01200,    0.07795,    8.65992,    5.00000,   16.91864,   18.81778,   15.53778 
UPK_53                   , 2243063188914482442*, 9999.00000, 9999.00000, 9999.00000,    0.07980,    8.65992,    5.00000,   13.78856,   15.10482,   12.58843 
UPK_53                   , 2243063188914482442A,    0.45353,    3.53740,    4.81700,    0.07980,    8.65992,    5.00000,   14.37748,   15.66301,   13.19009 
UPK_53                   , 2243063188914482442B,    0.40700,    3.54000,    4.20100,    0.07980,    8.65992,    5.00000,   14.73391,   16.09434,   13.51633 
UPK_53                   , 2243063188914482445*, 9999.00000, 9999.00000, 9999.00000,    0.08063,    8.65992,    5.00000,   17.89012,   20.39284,   16.39984 
UPK_53                   , 2243063188914482445A,    0.15129,    3.45090,    5.05900,    0.08063,    8.65992,    5.00000,   18.19132,   20.58978,   16.71694 
UPK_53                   , 2243063188914482445B,    0.10800,    3.45600,    5.16000,    0.08063,    8.65992,    5.00000,   19.42940,   22.34329,   17.89087 
UPK_53                   , 2243063188780264719 ,    0.12363,    3.42840,    5.08700,    0.07946,    8.65992,    5.00000,   18.45260,   20.96866,   16.96140 
UPK_53                   , 2243063188780264720 ,    0.76609,    3.68050,    4.65300,    0.08366,    8.65992,    5.00000,   11.41638,   11.96360,   10.68836 
UPK_53                   , 2243063188780264721 ,    0.38925,    3.52210,    4.88500,    0.07282,    8.65992,    5.00000,   15.47442,   16.98831,   14.20145 
UPK_53                   , 2243063188780264722 ,    0.47227,    3.54280,    4.79700,    0.09490,    8.65992,    5.00000,   14.56757,   15.89531,   13.36289 
UPK_53                   , 2243063188780264723 ,    0.09344,    3.38270,    5.09800,    0.08381,    8.65992,    5.00000,   19.50689,   22.42701,   17.96770 
UPK_53                   , 2243063188780264724 ,    0.11611,    3.41920,    5.09700,    0.08495,    8.65992,    5.00000,   19.08665,   21.90746,   17.55811 
UPK_53                   , 2243063188780264725 ,    0.11669,    3.42010,    5.09600,    0.09196,    8.65992,    5.00000,   19.11628,   21.95273,   17.58602 
UPK_53                   , 2243063188780264726 ,    0.14296,    3.44540,    5.06500,    0.08525,    8.65992,    5.00000,   17.99641,   20.31025,   16.53517 
UPK_53                   , 2243063188780264727 ,    0.13216,    3.43620,    5.07700,    0.08707,    8.65992,    5.00000,   18.73790,   21.38808,   17.22927 
UPK_53                   , 2243063188914482457*, 9999.00000, 9999.00000, 9999.00000,    0.08234,    8.65992,    5.00000,    5.15246,    5.14021,    5.12860 
UPK_53                   , 2243063188914482457A,    2.65096,    3.96780,    3.73100,    0.08234,    8.65992,    5.00000,    5.15246,    5.14021,    5.12862 
UPK_53                   , 2243063188914482457B,    0.07300,    3.20400,    5.36000,    0.08234,    8.65992,    5.00000,   18.92001,   21.83961,   17.38088 
UPK_53                   , 2243063188780264731 ,    0.14316,    3.44560,    5.06500,    0.08639,    8.65992,    5.00000,   18.00198,   20.31830,   16.54034 
UPK_53                   , 2243063188780264732 ,    0.41449,    3.52790,    4.85900,    0.09376,    8.65992,    5.00000,   14.81165,   16.18958,   13.58732 
UPK_53                   , 2243063188780264733 ,    0.42170,    3.52960,    4.85100,    0.07807,    8.65992,    5.00000,   14.86590,   16.25249,   13.63828 
UPK_53                   , 2243063188780264734 ,    0.99738,    3.75880,    4.53700,    0.07642,    8.65992,    5.00000,   10.21453,   10.59131,    9.65420 
UPK_53                   , 2243063188780264735 ,    0.13792,    3.44160,    5.07000,    0.07592,    8.65992,    5.00000,   18.91908,   21.65539,   17.40012 
UPK_53                   , 2243063188780264736 ,    0.50632,    3.55320,    4.76300,    0.07645,    8.65992,    5.00000,   13.70261,   14.82300,   12.59025 
UPK_53                   , 2243063188914482466*, 9999.00000, 9999.00000, 9999.00000,    0.07877,    8.65992,    5.00000,   17.29585,   19.45436,   15.86013 
UPK_53                   , 2243063188914482466A,    0.17560,    3.46370,    5.04000,    0.07877,    8.65992,    5.00000,   17.43265,   19.52016,   16.01158 
UPK_53                   , 2243063188914482466B,    0.10100,    3.44800,    5.25000,    0.07877,    8.65992,    5.00000,   19.61264,   22.53095,   18.07364 
UPK_53                   , 2243063188914482469*, 9999.00000, 9999.00000, 9999.00000,    0.07877,    8.65992,    5.00000,   16.64518,   18.56580,   15.25759 
UPK_53                   , 2243063188914482469A,    0.20537,    3.47690,    5.02000,    0.07877,    8.65992,    5.00000,   16.76590,   18.61236,   15.39758 
UPK_53                   , 2243063188914482469B,    0.07900,    3.25900,    5.36000,    0.07877,    8.65992,    5.00000,   19.08993,   22.00824,   17.55093 
UPK_53                   , 2243063188914482472*, 9999.00000, 9999.00000, 9999.00000,    0.07961,    8.65992,    5.00000,   18.39840,   21.31531,   16.85955 
