#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
ASCC_21                  , 1891097903137646630 ,    2.06970,    3.98890,    4.34600,    0.31174,    6.94988,    8.01030,    9.95905,    0.00054,    9.98138,    0.00046,    9.87797,    0.00047 
ASCC_21                  , 1891097903137646631 ,    0.09824,    3.40270,    3.97400,    0.33268,    6.94988,    8.01030,   19.31884,    0.00215,   21.91878,    0.22588,   17.80928,    0.01012 
ASCC_21                  , 1891097903271864361A,   12.12313,    4.43210,    4.03200,    0.28018,    6.94988,    8.01030,    5.30137,    0.00054,    5.20195,    0.00046,    5.43618,    0.00047 
ASCC_21                  , 1891097903271864361B,    0.67600,    3.63600,    4.63100,    0.28018,    6.94988,    8.01030,   15.51180,    0.00059,   16.78557,    0.00248,   14.32970,    0.00087 
ASCC_21                  , 1891097903137646635 ,    0.30931,    3.48540,    4.07600,    0.33643,    6.94988,    8.01030,   17.24532,    0.00078,   19.08116,    0.01685,   15.87648,    0.00211 
ASCC_21                  , 1891097903271864365*, 9999.00000, 9999.00000, 9999.00000,    0.28940,    6.94988,    8.01030,   18.60212,    0.00114,   21.32940,    0.07206,   17.10486,    0.00584 
ASCC_21                  , 1891097903137646639 ,    0.11225,    3.41120,    3.98600,    0.33901,    6.94988,    8.01030,   19.53145,    0.00249,   22.30490,    0.28036,   18.02198,    0.01213 
ASCC_21                  , 1891097903137646640 ,    0.75539,    3.61810,    4.29300,    0.30278,    6.94988,    8.01030,   14.63588,    0.00056,   15.51487,    0.00110,   13.66089,    0.00068 
ASCC_21                  , 1891097903137646641 ,    0.16072,    3.43570,    4.01400,    0.29554,    6.94988,    8.01030,   18.81259,    0.00155,   21.25824,    0.11395,   17.36216,    0.00670 
ASCC_21                  , 1891097903271864371*, 9999.00000, 9999.00000, 9999.00000,    0.32021,    6.94988,    8.01030,   16.75347,    0.00058,   18.56864,    0.01019,   15.39214,    0.00154 
ASCC_21                  , 1891097903271864374*, 9999.00000, 9999.00000, 9999.00000,    0.29643,    6.94988,    8.01030,    9.35735,    0.00045,    9.35165,    0.00046,    9.31845,    0.00047 
ASCC_21                  , 1891097903137646648 ,    0.10904,    3.40930,    3.98300,    0.31540,    6.94988,    8.01030,   19.47353,    0.00238,   22.22619,    0.26170,   17.95865,    0.01151 
ASCC_21                  , 1891097903137646649 ,    0.15249,    3.43190,    4.00900,    0.31131,    6.94988,    8.01030,   19.20686,    0.00199,   21.87557,    0.18729,   17.73467,    0.00924 
ASCC_21                  , 1891097903137646650 ,    0.10978,    3.40980,    3.98400,    0.30381,    6.94988,    8.01030,   19.47837,    0.00239,   22.18462,    0.26195,   17.97955,    0.01155 
ASCC_21                  , 1891097903271864380*, 9999.00000, 9999.00000, 9999.00000,    0.25276,    6.94988,    8.01030,   14.35336,    0.00046,   15.27217,    0.00096,   13.34479,    0.00063 
ASCC_21                  , 1891097903137646654 ,    0.29279,    3.48110,    4.07000,    0.32161,    6.94988,    8.01030,   17.51587,    0.00085,   19.43678,    0.02337,   16.12286,    0.00253 
ASCC_21                  , 1891097903271864384A,    0.52805,    3.53050,    4.14900,    0.32672,    6.94988,    8.01030,   16.23366,    0.00063,   17.75987,    0.00535,   14.95770,    0.00118 
ASCC_21                  , 1891097903271864384B,    0.17000,    3.50800,    4.23000,    0.32672,    6.94988,    8.01030,   18.97800,    0.00171,   21.36805,    0.14000,   17.49151,    0.00764 
ASCC_21                  , 1891097903271864387*, 9999.00000, 9999.00000, 9999.00000,    0.32232,    6.94988,    8.01030,    8.27780,    0.00045,    8.26030,    0.00046,    8.26297,    0.00047 
ASCC_21                  , 1891097903271864390*, 9999.00000, 9999.00000, 9999.00000,    0.31723,    6.94988,    8.01030,   18.40781,    0.00103,   21.10326,    0.10216,   16.90551,    0.00462 
ASCC_21                  , 1891097903137646664 ,    0.15501,    3.43310,    4.01100,    0.30975,    6.94988,    8.01030,   18.73602,    0.00148,   21.18103,    0.10337,   17.26192,    0.00628 
ASCC_21                  , 1891097903137646665 ,    0.23703,    3.46500,    4.04900,    0.32652,    6.94988,    8.01030,   17.84160,    0.00096,   19.84252,    0.03462,   16.42908,    0.00319 
ASCC_21                  , 1891097903271864395A,    0.68980,    3.56220,    4.20000,    0.26234,    6.94988,    8.01030,   15.55933,    0.00059,   16.84844,    0.00260,   14.37034,    0.00088 
ASCC_21                  , 1891097903271864395B,    0.35700,    3.56100,    4.90000,    0.26234,    6.94988,    8.01030,   16.90435,    0.00072,   18.63283,    0.01132,   15.56364,    0.00171 
ASCC_21                  , 1891097903271864398*, 9999.00000, 9999.00000, 9999.00000,    0.30317,    6.94988,    8.01030,   17.33683,    0.00067,   19.38927,    0.01940,   15.91952,    0.00223 
ASCC_21                  , 1891097903137646672 ,    0.33846,    3.49260,    4.08700,    0.29481,    6.94988,    8.01030,   17.07236,    0.00074,   18.82647,    0.01376,   15.72070,    0.00190 
ASCC_21                  , 1891097903137646673 ,    0.20185,    3.45290,    4.03500,    0.32788,    6.94988,    8.01030,   18.35511,    0.00120,   20.51780,    0.06477,   16.90764,    0.00467 
ASCC_21                  , 1891097903137646674 ,    0.53020,    3.53090,    4.14900,    0.35557,    6.94988,    8.01030,   16.26293,    0.00064,   17.81038,    0.00554,   14.98127,    0.00120 
ASCC_21                  , 1891097903271864404*, 9999.00000, 9999.00000, 9999.00000,    0.30139,    6.94988,    8.01030,   15.75886,    0.00050,   17.34408,    0.00346,   14.46353,    0.00094 
ASCC_21                  , 1891097903137646678 ,    0.14999,    3.43060,    4.00800,    0.31491,    6.94988,    8.01030,   19.16642,    0.00193,   21.71258,    0.17711,   17.66023,    0.00891 
ASCC_21                  , 1891097903271864408*, 9999.00000, 9999.00000, 9999.00000,    0.27607,    6.94988,    8.01030,    9.59004,    0.00045,    9.58444,    0.00046,    9.55433,    0.00047 
ASCC_21                  , 1891097903137646682 ,    0.33680,    3.49220,    4.08600,    0.28240,    6.94988,    8.01030,   17.05524,    0.00074,   18.81480,    0.01344,   15.70696,    0.00187 
ASCC_21                  , 1891097903271864412*, 9999.00000, 9999.00000, 9999.00000,    0.29730,    6.94988,    8.01030,   15.04995,    0.00047,   16.12689,    0.00160,   13.95602,    0.00075 
ASCC_21                  , 1891097903137646686 ,    0.40205,    3.50600,    4.10600,    0.29165,    6.94988,    8.01030,   16.55902,    0.00067,   18.17546,    0.00768,   15.24854,    0.00140 
ASCC_21                  , 1891097903137646687 ,    0.10241,    3.40530,    3.97800,    0.30692,    6.94988,    8.01030,   19.37076,    0.00222,   21.84837,    0.23514,   17.84557,    0.01053 
ASCC_21                  , 1891097903271864417*, 9999.00000, 9999.00000, 9999.00000,    0.29462,    6.94988,    8.01030,   17.77319,    0.00078,   20.02093,    0.02988,   16.32257,    0.00307 
ASCC_21                  , 1891097903271864420*, 9999.00000, 9999.00000, 9999.00000,    0.28936,    6.94988,    8.01030,   18.38960,    0.00102,   20.84653,    0.07152,   16.90699,    0.00476 
ASCC_21                  , 1891097903137646694 ,    0.65234,    3.55380,    4.18900,    0.30331,    6.94988,    8.01030,   15.61535,    0.00059,   16.92574,    0.00276,   14.41771,    0.00090 
ASCC_21                  , 1891097903271864424*, 9999.00000, 9999.00000, 9999.00000,    0.25818,    6.94988,    8.01030,   18.74027,    0.00124,   21.26721,    0.09888,   17.23669,    0.00637 
ASCC_21                  , 1891097903137646698 ,    0.44044,    3.51370,    4.11900,    0.34861,    6.94988,    8.01030,   16.53917,    0.00066,   18.16493,    0.00756,   15.23060,    0.00138 
ASCC_21                  , 1891097903137646699 ,    0.42099,    3.50980,    4.11300,    0.30482,    6.94988,    8.01030,   16.66374,    0.00068,   18.32762,    0.00865,   15.34441,    0.00148 
ASCC_21                  , 1891097903137646700 ,    0.29186,    3.48080,    4.07000,    0.24922,    6.94988,    8.01030,   17.46120,    0.00083,   19.37358,    0.02175,   16.08059,    0.00244 
ASCC_21                  , 1891097903137646701 ,    0.76649,    3.61940,    4.29300,    0.30014,    6.94988,    8.01030,   14.66698,    0.00056,   15.55072,    0.00112,   13.68611,    0.00069 
ASCC_21                  , 1891097903137646702 ,    0.73559,    3.60220,    4.26600,    0.31635,    6.94988,    8.01030,   15.25660,    0.00058,   16.40754,    0.00189,   14.13268,    0.00080 
ASCC_21                  , 1891097903271864432*, 9999.00000, 9999.00000, 9999.00000,    0.30208,    6.94988,    8.01030,   17.34545,    0.00067,   19.43621,    0.01851,   15.92364,    0.00227 
ASCC_21                  , 1891097903137646706 ,    0.19159,    3.44930,    4.03000,    0.31548,    6.94988,    8.01030,   18.22754,    0.00113,   20.36464,    0.05511,   16.79209,    0.00423 
ASCC_21                  , 1891097903137646707 ,    0.09709,    3.40200,    3.97300,    0.36099,    6.94988,    8.01030,   19.32158,    0.00215,   21.94145,    0.22758,   17.80975,    0.01012 
ASCC_21                  , 1891097903137646708 ,    0.19249,    3.44960,    4.03100,    0.28873,    6.94988,    8.01030,   18.22142,    0.00113,   20.40761,    0.05455,   16.78835,    0.00421 
ASCC_21                  , 1891097903271864438*, 9999.00000, 9999.00000, 9999.00000,    0.35045,    6.94988,    8.01030,   15.83800,    0.00050,   17.46950,    0.00381,   14.52812,    0.00097 
ASCC_21                  , 1891097903137646712 ,    0.39591,    3.50480,    4.10400,    0.26509,    6.94988,    8.01030,   16.84439,    0.00071,   18.54933,    0.01057,   15.51295,    0.00165 
ASCC_21                  , 1891097903137646713 ,    0.59997,    3.54320,    4.17100,    0.28877,    6.94988,    8.01030,   15.92256,    0.00061,   17.34165,    0.00381,   14.68144,    0.00102 
ASCC_21                  , 1891097903271864443*, 9999.00000, 9999.00000, 9999.00000,    0.32129,    6.94988,    8.01030,   15.82808,    0.00050,   17.43162,    0.00368,   14.52655,    0.00097 
