#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
Ruprecht_147             , 1747095994958421620*, 9999.00000, 9999.00000, 9999.00000,    0.62635,    9.48001,    8.01030,   13.41391,    0.00045,   13.90710,    0.00060,   12.73338,    0.00055 
Ruprecht_147             , 1747095994824203894 ,    0.36370,    3.51430,    4.88400,    0.58729,    9.48001,    8.01030,   18.58560,    0.00136,   20.20964,    0.04697,   17.26950,    0.00632 
Ruprecht_147             , 1747095994824203895 ,    0.76167,    3.68140,    4.63100,    0.52999,    9.48001,    8.01030,   14.72535,    0.00056,   15.37340,    0.00102,   13.91416,    0.00074 
Ruprecht_147             , 1747095994958421625*, 9999.00000, 9999.00000, 9999.00000,    0.49231,    9.48001,    8.01030,   16.65499,    0.00057,   17.90994,    0.00559,   15.47688,    0.00166 
Ruprecht_147             , 1747095994824203899 ,    0.43774,    3.53160,    4.81800,    0.45168,    9.48001,    8.01030,   18.26928,    0.00115,   19.81817,    0.03253,   16.98421,    0.00497 
Ruprecht_147             , 1747095994824203900 ,    0.27319,    3.49650,    4.96800,    0.48986,    9.48001,    8.01030,   19.27971,    0.00209,   21.04024,    0.10078,   17.92555,    0.01115 
Ruprecht_147             , 1747095994958421630*, 9999.00000, 9999.00000, 9999.00000,    0.57126,    9.48001,    8.01030,   15.61404,    0.00049,   16.53219,    0.00224,   14.60961,    0.00096 
Ruprecht_147             , 1747095994958421633A,    0.66577,    3.62810,    4.65200,    0.53818,    9.48001,    8.01030,   15.59203,    0.00059,   16.44556,    0.00194,   14.63042,    0.00100 
Ruprecht_147             , 1747095994958421633B,    0.22000,    3.52300,    4.89900,    0.53818,    9.48001,    8.01030,   20.07421,    0.00374,   22.11437,    0.25556,   18.63587,    0.02156 
Ruprecht_147             , 1747095994958421636A,    0.79595,    3.69590,    4.61400,    0.53140,    9.48001,    8.01030,   14.59751,    0.00056,   15.21869,    0.00095,   13.80423,    0.00071 
Ruprecht_147             , 1747095994958421636B,    0.31500,    3.53500,    4.67500,    0.53140,    9.48001,    8.01030,   19.70931,    0.00283,   21.55730,    0.16435,   18.33268,    0.01590 
Ruprecht_147             , 1747095994958421639*, 9999.00000, 9999.00000, 9999.00000,    0.59309,    9.48001,    8.01030,   19.15629,    0.00160,   21.04919,    0.09163,   17.77852,    0.00997 
Ruprecht_147             , 1747095994824203913 ,    0.89574,    3.73380,    4.55600,    0.49799,    9.48001,    8.01030,   13.87808,    0.00055,   14.39134,    0.00069,   13.18076,    0.00060 
Ruprecht_147             , 1747095994958421643*, 9999.00000, 9999.00000, 9999.00000,    0.54788,    9.48001,    8.01030,   17.38875,    0.00068,   18.79123,    0.01289,   16.15565,    0.00259 
Ruprecht_147             , 1747095994824203917 ,    0.50587,    3.55150,    4.75000,    0.49385,    9.48001,    8.01030,   17.47861,    0.00084,   18.82457,    0.01371,   16.25724,    0.00278 
Ruprecht_147             , 1747095994824203918 ,    0.84249,    3.71440,    4.58900,    0.59362,    9.48001,    8.01030,   14.48886,    0.00056,   15.09981,    0.00090,   13.70603,    0.00069 
Ruprecht_147             , 1747095994824203919 ,    0.20105,    3.47570,    5.02800,    0.55221,    9.48001,    8.01030,   19.82825,    0.00310,   21.61982,    0.18944,   18.44576,    0.01760 
Ruprecht_147             , 1747095994824203920 ,    0.55383,    3.56980,    4.70500,    0.41166,    9.48001,    8.01030,   16.45359,    0.00065,   17.54810,    0.00448,   15.35812,    0.00149 
Ruprecht_147             , 1747095994824203921 ,    0.20655,    3.47750,    5.02400,    0.51452,    9.48001,    8.01030,   19.87986,    0.00322,   21.75370,    0.20058,   18.48949,    0.01834 
Ruprecht_147             , 1747095994824203925 ,    0.22900,    3.48490,    5.00500,    0.50354,    9.48001,    8.01030,   20.16801,    0.00404,   22.70858,    0.28736,   18.75372,    0.02341 
Ruprecht_147             , 1747095994958421655*, 9999.00000, 9999.00000, 9999.00000,    0.61041,    9.48001,    8.01030,   18.97197,    0.00142,   20.85556,    0.07988,   17.59634,    0.00842 
Ruprecht_147             , 1747095994824203929 ,    0.34766,    3.51080,    4.89700,    0.45634,    9.48001,    8.01030,   19.01867,    0.00175,   20.61498,    0.07458,   17.68512,    0.00898 
