#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
Ruprecht_147             , 1747095994824152370 ,    0.21705,    3.48090,    5.01500,    0.07667,    9.48001,    5.00000,   16.72260,   18.55469,   15.35781 
Ruprecht_147             , 1747095994824152371 ,    0.29763,    3.50150,    4.94700,    0.06880,    9.48001,    5.00000,   16.22354,   17.91886,   14.89484 
Ruprecht_147             , 1747095994824152372 ,    0.23429,    3.48660,    5.00100,    0.07598,    9.48001,    5.00000,   16.95460,   18.86344,   15.57150 
Ruprecht_147             , 1747095994824152373 ,    0.17979,    3.46590,    5.05200,    0.07332,    9.48001,    5.00000,   17.53424,   19.64955,   16.10780 
Ruprecht_147             , 1747095994824152374 ,    0.41134,    3.52520,    4.84400,    0.06673,    9.48001,    5.00000,   14.75498,   16.13480,   13.52994 
Ruprecht_147             , 1747095994824152375 ,    0.09422,    3.37310,    5.20300,    0.08745,    9.48001,    5.00000,   18.12775,   20.48690,   16.65936 
Ruprecht_147             , 1747095994824152376 ,    0.09675,    3.37970,    5.19500,    0.06012,    9.48001,    5.00000,   18.23414,   20.63849,   16.75888 
Ruprecht_147             , 1747095994824152377 ,    0.22557,    3.48370,    5.00800,    0.07168,    9.48001,    5.00000,   16.83436,   18.70280,   15.46073 
Ruprecht_147             , 1747095994958370107*, 9999.00000, 9999.00000, 9999.00000,    0.07302,    9.48001,    5.00000,   14.20750,   15.63081,   12.96622 
Ruprecht_147             , 1747095994958370107A,    0.43440,    3.53080,    4.82100,    0.07302,    9.48001,    5.00000,   14.96637,   16.39101,   13.72461 
Ruprecht_147             , 1747095994958370107B,    0.43300,    3.58200,    4.85000,    0.07302,    9.48001,    5.00000,   14.95381,   16.37581,   13.71300 
Ruprecht_147             , 1747095994958370110*, 9999.00000, 9999.00000, 9999.00000,    0.06846,    9.48001,    5.00000,   10.95197,   11.43982,   10.27646 
Ruprecht_147             , 1747095994958370110A,    0.83217,    3.71040,    4.59500,    0.06846,    9.48001,    5.00000,   10.96574,   11.44483,   10.30094 
Ruprecht_147             , 1747095994958370110B,    0.34300,    3.53500,    4.39400,    0.06846,    9.48001,    5.00000,   15.70065,   17.28269,   14.40560 
Ruprecht_147             , 1747095994824152384 ,    0.29468,    3.50090,    4.94900,    0.06641,    9.48001,    5.00000,   16.19343,   17.88165,   14.86674 
Ruprecht_147             , 1747095994824152385 ,    0.10228,    3.39210,    5.17800,    0.06719,    9.48001,    5.00000,   18.50569,   21.03235,   17.01305 
Ruprecht_147             , 1747095994824152386 ,    0.22499,    3.48350,    5.00900,    0.06693,    9.48001,    5.00000,   16.82343,   18.68783,   15.45078 
Ruprecht_147             , 1747095994958370116*, 9999.00000, 9999.00000, 9999.00000,    0.07022,    9.48001,    5.00000,   17.46502,   19.80069,   15.99960 
