#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,         Bp,         Rp
UPK_53                   , 2243063188780267497 ,    0.27050,    3.49620,    4.97600,    0.24302,    8.65992,    6.50515,   18.00143,   19.78323,   16.64937 
UPK_53                   , 2243063188780267498 ,    0.14820,    3.44880,    5.06100,    0.26840,    8.65992,    6.50515,   19.73947,   22.16885,   18.26052 
UPK_53                   , 2243063188780267499 ,    0.23402,    3.48670,    5.00100,    0.25900,    8.65992,    6.50515,   18.77621,   20.81544,   17.36480 
UPK_53                   , 2243063188780267500 ,    1.15668,    3.79550,    4.43100,    0.23571,    8.65992,    6.50515,   10.82071,   11.12782,   10.33885 
UPK_53                   , 2243063188914485230*, 9999.00000, 9999.00000, 9999.00000,    0.30889,    8.65992,    6.50515,    9.78311,   10.00696,    9.40309 
UPK_53                   , 2243063188914485230A,    1.41071,    3.84340,    4.29100,    0.30889,    8.65992,    6.50515,    9.78506,   10.00758,    9.40750 
UPK_53                   , 2243063188914485230B,    0.43400,    3.56200,    4.82500,    0.30889,    8.65992,    6.50515,   16.64355,   18.11872,   15.38379 
UPK_53                   , 2243063188780267504 ,    0.13196,    3.43610,    5.07700,    0.27961,    8.65992,    6.50515,   20.35242,   23.06650,   18.83607 
UPK_53                   , 2243063188780267505 ,    0.21469,    3.48010,    5.01300,    0.29200,    8.65992,    6.50515,   18.53729,   20.49419,   17.14336 
UPK_53                   , 2243063188914485235*, 9999.00000, 9999.00000, 9999.00000,    0.19877,    8.65992,    6.50515,   12.31046,   12.79998,   11.63136 
UPK_53                   , 2243063188914485235A,    0.87334,    3.72090,    4.60500,    0.19877,    8.65992,    6.50515,   12.34702,   12.81672,   11.69134 
UPK_53                   , 2243063188914485235B,    0.45800,    3.57100,    4.81100,    0.19877,    8.65992,    6.50515,   16.01035,   17.33812,   14.80566 
UPK_53                   , 2243063188914485238*, 9999.00000, 9999.00000, 9999.00000,    0.26618,    8.65992,    6.50515,   19.50648,   22.17804,   17.99428 
UPK_53                   , 2243063188914485238A,    0.12064,    3.42560,    5.09100,    0.26618,    8.65992,    6.50515,   19.97323,   22.50737,   18.47958 
UPK_53                   , 2243063188914485238B,    0.07700,    3.22600,    5.36000,    0.26618,    8.65992,    6.50515,   20.64810,   23.63380,   19.10220 
UPK_53                   , 2243063188780267512 ,    0.17029,    3.46120,    5.04400,    0.28388,    8.65992,    6.50515,   18.97570,   21.09321,   17.54884 
UPK_53                   , 2243063188914485242*, 9999.00000, 9999.00000, 9999.00000,    0.27101,    8.65992,    6.50515,   17.23405,   18.90392,   15.91132 
UPK_53                   , 2243063188914485242A,    0.31621,    3.50610,    4.94600,    0.27101,    8.65992,    6.50515,   17.32357,   18.94313,   16.01698 
UPK_53                   , 2243063188914485242B,    0.12100,    3.49500,    4.56700,    0.27101,    8.65992,    6.50515,   19.98793,   22.52917,   18.49332 
UPK_53                   , 2243063188780267516 ,    0.13195,    3.43600,    5.07700,    0.25297,    8.65992,    6.50515,   20.33602,   23.04059,   18.82079 
UPK_53                   , 2243063188780267517 ,    0.13251,    3.43660,    5.07600,    0.24413,    8.65992,    6.50515,   20.34912,   23.05946,   18.83321 
UPK_53                   , 2243063188780267518 ,    0.14483,    3.44660,    5.06400,    0.24735,    8.65992,    6.50515,   19.64682,   22.03403,   18.17413 
UPK_53                   , 2243063188780267519 ,    0.22163,    3.48240,    5.00900,    0.23282,    8.65992,    6.50515,   18.59257,   20.56399,   17.19546 
UPK_53                   , 2243063188780267520 ,    1.83457,    3.93120,    4.23400,    0.21809,    8.65992,    6.50515,    8.61058,    8.67159,    8.46472 
UPK_53                   , 2243063188780267521 ,    0.20708,    3.47750,    5.01800,    0.26879,    8.65992,    6.50515,   18.41912,   20.33260,   17.03495 
UPK_53                   , 2243063188780267522 ,    0.37984,    3.52000,    4.89400,    0.21223,    8.65992,    6.50515,   16.99059,   18.52644,   15.71035 
UPK_53                   , 2243063188780267523 ,    0.23171,    3.48590,    5.00200,    0.20239,    8.65992,    6.50515,   18.70870,   20.71883,   17.30332 
UPK_53                   , 2243063188780267524 ,    0.16284,    3.45780,    5.04900,    0.23145,    8.65992,    6.50515,   18.81128,   20.86175,   17.39758 
UPK_53                   , 2243063188914485257*, 9999.00000, 9999.00000, 9999.00000,    0.24857,    8.65992,    6.50515,    8.47359,    8.54836,    8.30214 
UPK_53                   , 2243063188914485257A,    1.86949,    3.93620,    4.22500,    0.24857,    8.65992,    6.50515,    8.54153,    8.59948,    8.40053 
UPK_53                   , 2243063188914485257B,    1.02600,    3.76300,    4.51400,    0.24857,    8.65992,    6.50515,   11.51645,   11.89161,   10.95789 
UPK_53                   , 2243063188780267531 ,    0.12239,    3.42720,    5.08900,    0.24828,    8.65992,    6.50515,   20.01984,   22.57458,   18.52343 
UPK_53                   , 2243063188914485261*, 9999.00000, 9999.00000, 9999.00000,    0.24289,    8.65992,    6.50515,   18.76786,   21.05321,   17.31064 
UPK_53                   , 2243063188914485261A,    0.18138,    3.46640,    5.03600,    0.24289,    8.65992,    6.50515,   19.14354,   21.32338,   17.70512 
UPK_53                   , 2243063188914485261B,    0.12500,    3.49400,    4.92000,    0.24289,    8.65992,    6.50515,   20.10257,   22.69569,   18.60115 
UPK_53                   , 2243063188914485264*, 9999.00000, 9999.00000, 9999.00000,    0.18456,    8.65992,    6.50515,   10.11996,   10.36201,    9.71685 
UPK_53                   , 2243063188914485264A,    1.33290,    3.82860,    4.32400,    0.18456,    8.65992,    6.50515,   10.12123,   10.36236,    9.71979 
UPK_53                   , 2243063188914485264B,    0.33700,    3.56100,    4.91500,    0.18456,    8.65992,    6.50515,   17.44903,   19.08669,   16.13701 
UPK_53                   , 2243063188780267538 ,    0.56629,    3.57760,    4.71700,    0.26766,    8.65992,    6.50515,   14.99364,   16.06847,   13.90424 
UPK_53                   , 2243063188780267539 ,    0.58651,    3.58690,    4.70400,    0.27555,    8.65992,    6.50515,   15.20476,   16.33767,   14.08626 
UPK_53                   , 2243063188780267540 ,    0.40541,    3.52580,    4.86900,    0.26737,    8.65992,    6.50515,   16.35696,   17.76767,   15.12030 
UPK_53                   , 2243063188914485270*, 9999.00000, 9999.00000, 9999.00000,    0.23975,    8.65992,    6.50515,   16.31129,   17.86716,   15.02455 
UPK_53                   , 2243063188914485270A,    0.38671,    3.52150,    4.88700,    0.23975,    8.65992,    6.50515,   17.07161,   18.62920,   15.78432 
UPK_53                   , 2243063188914485270B,    0.38500,    3.54600,    4.82900,    0.23975,    8.65992,    6.50515,   17.05616,   18.61034,   15.76997 
UPK_53                   , 2243063188914485273*, 9999.00000, 9999.00000, 9999.00000,    0.25489,    8.65992,    6.50515,   15.67292,   17.04696,   14.44928 
UPK_53                   , 2243063188914485273A,    0.49455,    3.54940,    4.77400,    0.25489,    8.65992,    6.50515,   15.92278,   17.23873,   14.72285 
UPK_53                   , 2243063188914485273B,    0.32500,    3.53500,    4.55800,    0.25489,    8.65992,    6.50515,   17.39053,   19.02380,   16.07981 
UPK_53                   , 2243063188780267547 ,    0.11279,    3.41420,    5.10000,    0.23551,    8.65992,    6.50515,   21.15295,   24.12657,   19.60827 
UPK_53                   , 2243063188780267548 ,    0.27455,    3.49710,    4.97400,    0.27541,    8.65992,    6.50515,   18.06279,   19.86469,   16.70557 
UPK_53                   , 2243063188780267549 ,    0.15752,    3.45490,    5.05400,    0.24987,    8.65992,    6.50515,   19.47584,   21.78890,   18.01472 
UPK_53                   , 2243063188780267550 ,    0.20570,    3.47700,    5.01900,    0.23546,    8.65992,    6.50515,   18.37846,   20.27500,   16.99821 
UPK_53                   , 2243063188780267551 ,    0.14145,    3.44440,    5.06600,    0.23483,    8.65992,    6.50515,   19.55882,   21.90681,   18.09217 
UPK_53                   , 2243063188780267552 ,    0.16337,    3.45800,    5.04900,    0.21062,    8.65992,    6.50515,   18.80709,   20.85443,   17.39403 
UPK_53                   , 2243063188780267553 ,    0.19569,    3.47300,    5.02600,    0.27837,    8.65992,    6.50515,   19.41410,   21.70433,   17.95669 
UPK_53                   , 2243063188780267554 ,    0.14760,    3.44840,    5.06200,    0.18936,    8.65992,    6.50515,   19.67654,   22.07313,   18.20244 
UPK_53                   , 2243063188780267555 ,    0.11294,    3.41440,    5.10000,    0.24504,    8.65992,    6.50515,   21.16251,   24.13970,   19.61747 
UPK_53                   , 2243063188780267556 ,    0.30003,    3.50250,    4.95800,    0.24319,    8.65992,    6.50515,   17.60385,   19.28661,   16.27871 
UPK_53                   , 2243063188914485286*, 9999.00000, 9999.00000, 9999.00000,    0.26085,    8.65992,    6.50515,   17.16449,   18.79467,   15.85349 
UPK_53                   , 2243063188914485286A,    0.30540,    3.50380,    4.95400,    0.26085,    8.65992,    6.50515,   17.22068,   18.81456,   15.92194 
UPK_53                   , 2243063188914485286B,    0.13400,    3.50000,    4.93600,    0.26085,    8.65992,    6.50515,   20.40764,   23.14720,   18.88830 
UPK_53                   , 2243063188780267560 ,    0.36724,    3.51710,    4.90600,    0.20381,    8.65992,    6.50515,   16.87073,   18.37915,   15.59960 
UPK_53                   , 2243063188780267561 ,    0.16121,    3.45700,    5.05100,    0.22651,    8.65992,    6.50515,   18.77929,   20.81724,   17.36815 
UPK_53                   , 2243063188780267562 ,    0.11882,    3.42330,    5.09300,    0.25952,    8.65992,    6.50515,   20.81437,   23.75967,   19.27258 
UPK_53                   , 2243063188780267563 ,    0.25480,    3.49260,    4.98600,    0.27235,    8.65992,    6.50515,   17.86631,   19.61770,   16.52225 
UPK_53                   , 2243063188914485293*, 9999.00000, 9999.00000, 9999.00000,    0.27883,    8.65992,    6.50515,   11.59704,   12.07438,   10.93378 
UPK_53                   , 2243063188914485293A,    0.94009,    3.74240,    4.57100,    0.27883,    8.65992,    6.50515,   12.19913,   12.65822,   11.55383 
UPK_53                   , 2243063188914485293B,    0.89000,    3.69900,    4.58000,    0.27883,    8.65992,    6.50515,   12.52436,   13.02683,   11.83734 
UPK_53                   , 2243063188780267567 ,    1.37794,    3.83700,    4.30400,    0.22595,    8.65992,    6.50515,    9.94935,   10.18023,    9.56100 
UPK_53                   , 2243063188780267568 ,    0.25718,    3.49320,    4.98500,    0.19489,    8.65992,    6.50515,   17.83800,   19.57185,   16.49866 
UPK_53                   , 2243063188780267569 ,    0.62733,    3.60720,    4.68500,    0.24466,    8.65992,    6.50515,   14.58399,   15.54883,   13.55456 
UPK_53                   , 2243063188780267570 ,    0.35696,    3.51480,    4.91500,    0.22680,    8.65992,    6.50515,   16.79339,   18.28817,   15.52688 
UPK_53                   , 2243063188780267571 ,    0.84921,    3.71250,    4.61700,    0.24985,    8.65992,    6.50515,   12.92418,   13.48584,   12.18333 
UPK_53                   , 2243063188914485301*, 9999.00000, 9999.00000, 9999.00000,    0.21896,    8.65992,    6.50515,   13.19958,   13.82118,   12.40562 
UPK_53                   , 2243063188914485301A,    0.78907,    3.68970,    4.64300,    0.21896,    8.65992,    6.50515,   13.21589,   13.82709,   12.43261 
UPK_53                   , 2243063188914485301B,    0.29800,    3.53600,    4.86700,    0.21896,    8.65992,    6.50515,   17.76538,   19.48424,   16.43014 
UPK_53                   , 2243063188780267575 ,    0.16432,    3.45850,    5.04800,    0.24597,    8.65992,    6.50515,   18.84666,   20.91171,   17.43004 
UPK_53                   , 2243063188914485305*, 9999.00000, 9999.00000, 9999.00000,    0.27539,    8.65992,    6.50515,   17.20456,   18.82420,   15.89707 
UPK_53                   , 2243063188914485305A,    0.30572,    3.50380,    4.95400,    0.27539,    8.65992,    6.50515,   17.23348,   18.83233,   15.93321 
UPK_53                   , 2243063188914485305B,    0.11200,    3.46000,    5.16000,    0.27539,    8.65992,    6.50515,   21.15544,   24.14277,   19.60937 
UPK_53                   , 2243063188914485308*, 9999.00000, 9999.00000, 9999.00000,    0.27510,    8.65992,    6.50515,   19.32077,   21.78230,   17.83599 
UPK_53                   , 2243063188914485308A,    0.14103,    3.44420,    5.06600,    0.27510,    8.65992,    6.50515,   19.57385,   21.93090,   18.10578 
UPK_53                   , 2243063188914485308B,    0.09000,    3.43000,    5.29000,    0.27510,    8.65992,    6.50515,   21.02605,   24.01498,   19.47983 
UPK_53                   , 2243063188914485311*, 9999.00000, 9999.00000, 9999.00000,    0.26537,    8.65992,    6.50515,   18.22672,   20.30781,   16.80646 
UPK_53                   , 2243063188914485311A,    0.22286,    3.48290,    5.00800,    0.26537,    8.65992,    6.50515,   18.63031,   20.61789,   17.22971 
UPK_53                   , 2243063188914485311B,    0.15800,    3.50600,    4.27700,    0.26537,    8.65992,    6.50515,   19.49674,   21.81978,   18.03403 
UPK_53                   , 2243063188780267585 ,    0.14816,    3.44880,    5.06100,    0.21846,    8.65992,    6.50515,   19.70774,   22.11992,   18.23132 
UPK_53                   , 2243063188914485315*, 9999.00000, 9999.00000, 9999.00000,    0.25485,    8.65992,    6.50515,   13.22286,   13.85470,   12.42021 
UPK_53                   , 2243063188914485315A,    0.78884,    3.68960,    4.64300,    0.25485,    8.65992,    6.50515,   13.24323,   13.86248,   12.45327 
UPK_53                   , 2243063188914485315B,    0.34300,    3.53500,    4.39400,    0.25485,    8.65992,    6.50515,   17.54968,   19.22101,   16.22782 
UPK_53                   , 2243063188780267589 ,    0.18757,    3.46930,    5.03200,    0.24008,    8.65992,    6.50515,   19.24930,   21.47068,   17.80353 
UPK_53                   , 2243063188780267590 ,    0.12115,    3.42610,    5.09000,    0.23025,    8.65992,    6.50515,   19.96802,   22.49764,   18.47498 
UPK_53                   , 2243063188780267591 ,    0.32616,    3.50820,    4.93900,    0.26705,    8.65992,    6.50515,   17.40903,   19.04836,   16.09651 
UPK_53                   , 2243063188780267592 ,    0.33577,    3.51020,    4.93200,    0.22066,    8.65992,    6.50515,   17.46260,   19.10840,   16.14817 
UPK_53                   , 2243063188780267593 ,    0.36001,    3.51550,    4.91300,    0.21198,    8.65992,    6.50515,   16.81082,   18.30733,   15.54372 
UPK_53                   , 2243063188914485323*, 9999.00000, 9999.00000, 9999.00000,    0.25157,    8.65992,    6.50515,    7.98305,    8.02141,    7.87037 
UPK_53                   , 2243063188914485323A,    2.10315,    3.96440,    4.15000,    0.25157,    8.65992,    6.50515,    8.02443,    8.05149,    7.93365 
UPK_53                   , 2243063188914485323B,    1.03200,    3.77200,    4.51200,    0.25157,    8.65992,    6.50515,   11.55089,   11.93010,   10.98796 
UPK_53                   , 2243063188780267597 ,    0.14888,    3.44930,    5.06100,    0.24446,    8.65992,    6.50515,   19.74075,   22.16917,   18.26194 
UPK_53                   , 2243063188780267598 ,    0.62354,    3.60520,    4.68600,    0.27011,    8.65992,    6.50515,   14.56542,   15.52699,   13.53789 
UPK_53                   , 2243063188780267599 ,    0.11892,    3.42340,    5.09300,    0.19701,    8.65992,    6.50515,   20.78174,   23.70684,   19.24204 
UPK_53                   , 2243063188780267600 ,    0.33246,    3.50950,    4.93500,    0.23054,    8.65992,    6.50515,   17.44000,   19.08176,   16.12677 
UPK_53                   , 2243063188780267601 ,    0.28766,    3.50000,    4.96500,    0.24234,    8.65992,    6.50515,   17.68865,   19.39173,   16.35778 
UPK_53                   , 2243063188780267602 ,    0.12654,    3.43110,    5.08400,    0.26740,    8.65992,    6.50515,   20.16786,   22.79319,   18.66233 
UPK_53                   , 2243063188914485332*, 9999.00000, 9999.00000, 9999.00000,    0.20920,    8.65992,    6.50515,   10.53548,   10.81441,   10.08711 
UPK_53                   , 2243063188914485332A,    1.22829,    3.80940,    4.38400,    0.20920,    8.65992,    6.50515,   10.53565,   10.81443,   10.08756 
UPK_53                   , 2243063188914485332B,    0.12400,    3.49800,    4.24800,    0.20920,    8.65992,    6.50515,   20.04919,   22.61533,   18.55128 
UPK_53                   , 2243063188914485335*, 9999.00000, 9999.00000, 9999.00000,    0.30706,    8.65992,    6.50515,   14.68399,   15.80546,   13.56937 
UPK_53                   , 2243063188914485335A,    0.55607,    3.57290,    4.72300,    0.30706,    8.65992,    6.50515,   14.91868,   15.97588,   13.83846 
UPK_53                   , 2243063188914485335B,    0.41400,    3.54500,    4.38900,    0.30706,    8.65992,    6.50515,   16.46227,   17.90005,   15.21573 
UPK_53                   , 2243063188780267609 ,    0.21180,    3.47910,    5.01500,    0.26221,    8.65992,    6.50515,   18.47872,   20.41249,   17.08993 
UPK_53                   , 2243063188780267610 ,    0.28583,    3.49960,    4.96600,    0.24226,    8.65992,    6.50515,   17.67224,   19.37127,   16.34250 
UPK_53                   , 2243063188780267611 ,    0.18749,    3.46920,    5.03200,    0.28334,    8.65992,    6.50515,   19.27529,   21.51034,   17.82716 
UPK_53                   , 2243063188780267612 ,    0.76633,    3.68060,    4.65300,    0.25148,    8.65992,    6.50515,   13.06158,   13.64776,   12.29945 
UPK_53                   , 2243063188914485342*, 9999.00000, 9999.00000, 9999.00000,    0.19897,    8.65992,    6.50515,    9.46610,    9.64511,    9.14413 
UPK_53                   , 2243063188914485342A,    1.54853,    3.87600,    4.27300,    0.19897,    8.65992,    6.50515,    9.47753,    9.65088,    9.16563 
UPK_53                   , 2243063188914485342B,    0.61400,    3.59500,    4.49900,    0.19897,    8.65992,    6.50515,   14.41537,   15.33405,   13.41320 
UPK_53                   , 2243063188780267616 ,    0.31802,    3.50640,    4.94500,    0.28799,    8.65992,    6.50515,   17.35117,   18.97958,   16.04191 
UPK_53                   , 2243063188780267617 ,    0.35664,    3.51470,    4.91600,    0.26340,    8.65992,    6.50515,   16.81588,   18.32066,   15.54598 
UPK_53                   , 2243063188780267618 ,    0.13356,    3.43750,    5.07500,    0.26023,    8.65992,    6.50515,   20.39309,   23.12558,   18.87457 
