#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
Ruprecht_147             , 1747095994958499118*, 9999.00000, 9999.00000, 9999.00000,    0.95776,    9.48001,   11.02060,   20.84214,    0.00581,   22.22107,    0.27957,   19.61016,    0.05144 
Ruprecht_147             , 1747095994958499121*, 9999.00000, 9999.00000, 9999.00000,    0.89801,    9.48001,   11.02060,   17.65322,    0.00074,   18.33706,    0.00890,   16.80965,    0.00426 
Ruprecht_147             , 1747095994824281398 ,    0.62531,    3.60540,    4.66500,    0.97497,    9.48001,   11.02060,   19.47429,    0.00239,   20.53370,    0.06677,   18.35917,    0.01627 
Ruprecht_147             , 1747095994824281402 ,    0.88964,    3.73160,    4.56000,    0.95927,    9.48001,   11.02060,   17.22730,    0.00078,   17.84886,    0.00573,   16.44168,    0.00321 
Ruprecht_147             , 1747095994824281403 ,    0.69798,    3.64660,    4.64400,    1.12879,    9.48001,   11.02060,   19.37484,    0.00223,   20.51574,    0.05984,   18.28281,    0.01503 
Ruprecht_147             , 1747095994958499139*, 9999.00000, 9999.00000, 9999.00000,    0.68537,    9.48001,   11.02060,   21.99111,    0.01582,   23.77188,    1.22739,   20.78018,    0.12789 
Ruprecht_147             , 1747095994958499142*, 9999.00000, 9999.00000, 9999.00000,    1.06661,    9.48001,   11.02060,   15.62588,    0.00049,   16.15487,    0.00160,   14.91000,    0.00115 
Ruprecht_147             , 1747095994824281419 ,    1.11358,    3.79070,    4.35200,    1.02272,    9.48001,   11.02060,   15.95643,    0.00061,   16.45180,    0.00194,   15.27870,    0.00143 
Ruprecht_147             , 1747095994958499149*, 9999.00000, 9999.00000, 9999.00000,    1.03373,    9.48001,   11.02060,   19.66734,    0.00228,   21.11723,    0.09029,   18.45709,    0.01825 
Ruprecht_147             , 1747095994824281429 ,    0.89352,    3.73300,    4.55800,    0.84615,    9.48001,   11.02060,   17.16026,    0.00076,   17.75227,    0.00532,   16.39260,    0.00309 
Ruprecht_147             , 1747095994958499171*, 9999.00000, 9999.00000, 9999.00000,    0.94638,    9.48001,   11.02060,   19.15855,    0.00160,   20.21513,    0.04641,   18.07072,    0.01278 
Ruprecht_147             , 1747095994958499174*, 9999.00000, 9999.00000, 9999.00000,    0.78717,    9.48001,   11.02060,   14.19306,    0.00046,   14.62122,    0.00074,   13.57807,    0.00066 
Ruprecht_147             , 1747095994824281448 ,    0.55145,    3.56870,    4.70700,    0.91215,    9.48001,   11.02060,   19.80625,    0.00304,   20.79534,    0.09846,   18.65212,    0.02108 
Ruprecht_147             , 1747095994958499178*, 9999.00000, 9999.00000, 9999.00000,    0.85610,    9.48001,   11.02060,   16.74054,    0.00058,   17.28523,    0.00359,   16.01685,    0.00235 
Ruprecht_147             , 1747095994824281452 ,    0.65303,    3.62070,    4.65400,    0.90276,    9.48001,   11.02060,   19.25656,    0.00206,   20.28767,    0.05169,   18.17218,    0.01383 
Ruprecht_147             , 1747095994958499182*, 9999.00000, 9999.00000, 9999.00000,    0.95369,    9.48001,   11.02060,   20.26210,    0.00362,   21.60496,    0.17795,   18.95741,    0.02970 
Ruprecht_147             , 1747095994824281459 ,    0.65486,    3.62180,    4.65400,    1.00654,    9.48001,   11.02060,   18.84838,    0.00158,   19.81532,    0.03201,   17.83582,    0.01024 
Ruprecht_147             , 1747095994958499189*, 9999.00000, 9999.00000, 9999.00000,    0.75911,    9.48001,   11.02060,   15.06271,    0.00047,   15.47421,    0.00108,   14.46271,    0.00092 
Ruprecht_147             , 1747095994824281463 ,    1.30170,    3.80100,    4.09500,    1.02219,    9.48001,   11.02060,   14.92934,    0.00057,   15.39743,    0.00103,   14.27425,    0.00085 
Ruprecht_147             , 1747095994958499193*, 9999.00000, 9999.00000, 9999.00000,    0.94219,    9.48001,   11.02060,   20.33683,    0.00386,   21.79087,    0.22069,   19.13272,    0.03036 
Ruprecht_147             , 1747095994824281473 ,    1.05106,    3.77780,    4.42300,    0.83578,    9.48001,   11.02060,   16.11780,    0.00062,   16.59371,    0.00215,   15.45366,    0.00159 
Ruprecht_147             , 1747095994958499203*, 9999.00000, 9999.00000, 9999.00000,    0.84248,    9.48001,   11.02060,   14.19852,    0.00046,   14.64744,    0.00075,   13.56446,    0.00066 
Ruprecht_147             , 1747095994958499209*, 9999.00000, 9999.00000, 9999.00000,    0.80181,    9.48001,   11.02060,   21.49805,    0.01032,   23.74835,    0.68758,   20.35388,    0.08545 
Ruprecht_147             , 1747095994958499212*, 9999.00000, 9999.00000, 9999.00000,    1.02069,    9.48001,   11.02060,   18.77844,    0.00127,   19.72426,    0.03135,   17.73757,    0.00941 
Ruprecht_147             , 1747095994958499215*, 9999.00000, 9999.00000, 9999.00000,    0.90504,    9.48001,   11.02060,   17.69938,    0.00075,   18.52154,    0.00998,   16.75471,    0.00420 
Ruprecht_147             , 1747095994958499218*, 9999.00000, 9999.00000, 9999.00000,    0.93208,    9.48001,   11.02060,   21.02502,    0.00685,   22.57183,    0.43696,   19.76693,    0.05582 
Ruprecht_147             , 1747095994824281492 ,    0.59820,    3.59040,    4.67500,    0.84509,    9.48001,   11.02060,   20.23511,    0.00424,   21.70529,    0.16272,   19.00322,    0.02962 
Ruprecht_147             , 1747095994958499222*, 9999.00000, 9999.00000, 9999.00000,    0.79706,    9.48001,   11.02060,   17.40556,    0.00068,   18.03133,    0.00724,   16.60440,    0.00347 
Ruprecht_147             , 1747095994824281496 ,    0.95640,    3.75310,    4.51200,    0.96467,    9.48001,   11.02060,   16.73618,    0.00069,   17.29335,    0.00365,   15.99899,    0.00231 
Ruprecht_147             , 1747095994958499226*, 9999.00000, 9999.00000, 9999.00000,    0.76193,    9.48001,   11.02060,   20.23630,    0.00356,   21.55223,    0.17422,   19.00508,    0.02916 
Ruprecht_147             , 1747095994824281503 ,    1.07721,    3.78350,    4.39400,    0.94505,    9.48001,   11.02060,   16.20288,    0.00063,   16.70294,    0.00232,   15.51981,    0.00166 
Ruprecht_147             , 1747095994958499233*, 9999.00000, 9999.00000, 9999.00000,    0.81473,    9.48001,   11.02060,   18.37152,    0.00101,   19.17905,    0.01836,   17.42215,    0.00731 
Ruprecht_147             , 1747095994958499236*, 9999.00000, 9999.00000, 9999.00000,    0.96464,    9.48001,   11.02060,   16.40231,    0.00054,   16.93305,    0.00279,   15.68733,    0.00184 
Ruprecht_147             , 1747095994824281513 ,    0.60012,    3.59130,    4.67400,    1.09560,    9.48001,   11.02060,   19.81130,    0.00306,   21.06626,    0.10018,   18.65057,    0.02110 
Ruprecht_147             , 1747095994958499243*, 9999.00000, 9999.00000, 9999.00000,    1.00781,    9.48001,   11.02060,   20.09168,    0.00317,   21.38713,    0.14310,   18.87143,    0.02619 
Ruprecht_147             , 1747095994958499249*, 9999.00000, 9999.00000, 9999.00000,    0.83615,    9.48001,   11.02060,   15.10392,    0.00048,   15.52572,    0.00110,   14.49703,    0.00094 
Ruprecht_147             , 1747095994824281523 ,    0.64843,    3.61810,    4.65600,    1.02765,    9.48001,   11.02060,   19.74684,    0.00291,   20.91646,    0.09226,   18.59659,    0.02007 
Ruprecht_147             , 1747095994824281524 ,    1.42111,    3.78530,    3.85500,    0.89216,    9.48001,   11.02060,   14.30239,    0.00055,   14.76768,    0.00078,   13.65404,    0.00068 
Ruprecht_147             , 1747095994958499254A,    1.02873,    3.77250,    4.44600,    0.88999,    9.48001,   11.02060,   16.19537,    0.00063,   16.68899,    0.00230,   15.52098,    0.00166 
Ruprecht_147             , 1747095994958499254B,    0.56500,    3.58500,    4.61100,    0.88999,    9.48001,   11.02060,   19.92007,    0.00334,   21.19333,    0.11363,   18.74034,    0.02322 
Ruprecht_147             , 1747095994958499257*, 9999.00000, 9999.00000, 9999.00000,    0.89960,    9.48001,   11.02060,   20.64026,    0.00494,   22.09060,    0.31433,   19.36554,    0.03896 
Ruprecht_147             , 1747095994824281531 ,    1.22340,    3.80260,    4.21200,    0.90206,    9.48001,   11.02060,   15.24184,    0.00058,   15.67525,    0.00120,   14.62169,    0.00099 
Ruprecht_147             , 1747095994958499273*, 9999.00000, 9999.00000, 9999.00000,    0.86495,    9.48001,   11.02060,   20.97380,    0.00657,   22.88498,    0.42708,   19.76347,    0.05310 
Ruprecht_147             , 1747095994958499276*, 9999.00000, 9999.00000, 9999.00000,    0.82051,    9.48001,   11.02060,   15.96162,    0.00051,   16.42131,    0.00190,   15.31178,    0.00146 
Ruprecht_147             , 1747095994824281550 ,    0.60896,    3.59630,    4.67100,    0.94871,    9.48001,   11.02060,   19.80429,    0.00303,   21.01477,    0.09784,   18.62176,    0.02094 
Ruprecht_147             , 1747095994958499280*, 9999.00000, 9999.00000, 9999.00000,    1.11273,    9.48001,   11.02060,   18.08699,    0.00088,   18.93891,    0.01483,   17.11292,    0.00558 
Ruprecht_147             , 1747095994958499283*, 9999.00000, 9999.00000, 9999.00000,    1.00649,    9.48001,   11.02060,   19.87115,    0.00267,   21.29626,    0.12839,   18.68244,    0.02071 
Ruprecht_147             , 1747095994958499286*, 9999.00000, 9999.00000, 9999.00000,    0.91478,    9.48001,   11.02060,   22.08769,    0.01771,   23.52069,    1.31073,   20.70803,    0.14544 
Ruprecht_147             , 1747095994824281566 ,    0.58284,    3.58330,    4.68600,    0.72541,    9.48001,   11.02060,   19.99576,    0.00351,   21.37198,    0.12126,   18.81622,    0.02453 
Ruprecht_147             , 1747095994824281567 ,    0.97270,    3.75770,    4.49800,    0.94330,    9.48001,   11.02060,   16.82118,    0.00070,   17.38178,    0.00392,   16.08014,    0.00245 
Ruprecht_147             , 1747095994958499297*, 9999.00000, 9999.00000, 9999.00000,    1.13029,    9.48001,   11.02060,   20.33884,    0.00384,   21.40834,    0.17487,   19.11587,    0.03283 
Ruprecht_147             , 1747095994824281571 ,    0.57569,    3.57990,    4.69100,    0.83751,    9.48001,   11.02060,   20.00684,    0.00353,   21.08053,    0.12322,   18.76637,    0.02460 
Ruprecht_147             , 1747095994824281572 ,    1.06839,    3.78160,    4.40400,    0.89325,    9.48001,   11.02060,   16.10700,    0.00062,   16.58779,    0.00215,   15.44095,    0.00157 
Ruprecht_147             , 1747095994824281579 ,    1.40664,    3.78650,    3.89000,    0.80360,    9.48001,   11.02060,   14.32071,    0.00055,   14.76760,    0.00078,   13.68698,    0.00069 
Ruprecht_147             , 1747095994824281580 ,    0.55242,    3.56910,    4.70600,    0.82151,    9.48001,   11.02060,   19.74471,    0.00292,   21.03025,    0.09169,   18.62835,    0.02022 
Ruprecht_147             , 1747095994824281587 ,    0.64861,    3.61820,    4.65600,    0.89471,    9.48001,   11.02060,   19.65075,    0.00271,   20.98326,    0.08186,   18.47367,    0.01870 
Ruprecht_147             , 1747095994824281588 ,    0.81813,    3.70480,    4.60200,    0.78883,    9.48001,   11.02060,   17.47522,    0.00084,   18.10773,    0.00715,   16.67997,    0.00386 
Ruprecht_147             , 1747095994958499324*, 9999.00000, 9999.00000, 9999.00000,    0.82503,    9.48001,   11.02060,   21.23858,    0.00829,   23.21127,    0.47228,   19.85111,    0.07113 
Ruprecht_147             , 1747095994824281601 ,    1.49703,    3.59780,    1.27000,    0.85624,    9.48001,   11.02060,   10.20386,    0.00054,   11.24195,    0.00048,    9.13414,    0.00046 
Ruprecht_147             , 1747095994824281602 ,    0.50791,    3.55230,    4.74800,    1.07173,    9.48001,   11.02060,   20.40531,    0.00491,   22.02836,    0.20472,   19.17666,    0.03403 
Ruprecht_147             , 1747095994958499332*, 9999.00000, 9999.00000, 9999.00000,    0.92617,    9.48001,   11.02060,   22.06455,    0.01694,   24.49118,    1.41423,   20.84220,    0.13471 
Ruprecht_147             , 1747095994824281618 ,    0.49559,    3.54790,    4.76000,    0.84123,    9.48001,   11.02060,   21.17265,    0.00930,   23.06593,    0.47818,   19.71640,    0.06444 
Ruprecht_147             , 1747095994958499348*, 9999.00000, 9999.00000, 9999.00000,    1.01629,    9.48001,   11.02060,   19.70192,    0.00235,   21.19694,    0.10208,   18.48568,    0.01825 
Ruprecht_147             , 1747095994824281622 ,    0.96609,    3.75580,    4.50300,    0.99956,    9.48001,   11.02060,   16.82623,    0.00070,   17.39308,    0.00397,   16.07924,    0.00244 
Ruprecht_147             , 1747095994958499352*, 9999.00000, 9999.00000, 9999.00000,    0.87455,    9.48001,   11.02060,   15.45953,    0.00049,   15.92639,    0.00137,   14.80636,    0.00110 
Ruprecht_147             , 1747095994958499355*, 9999.00000, 9999.00000, 9999.00000,    0.79316,    9.48001,   11.02060,   19.16777,    0.00161,   20.27092,    0.05443,   18.08453,    0.01196 
Ruprecht_147             , 1747095994824281632 ,    0.58240,    3.58310,    4.68600,    0.86563,    9.48001,   11.02060,   20.09154,    0.00378,   21.46276,    0.13708,   18.88953,    0.02637 
Ruprecht_147             , 1747095994958499362*, 9999.00000, 9999.00000, 9999.00000,    0.88111,    9.48001,   11.02060,   20.98480,    0.00661,   22.79296,    0.44094,   19.68114,    0.05298 
Ruprecht_147             , 1747095994824281639 ,    0.75915,    3.68030,    4.63200,    0.98094,    9.48001,   11.02060,   18.07628,    0.00105,   18.83755,    0.01346,   17.18305,    0.00586 
Ruprecht_147             , 1747095994824281643 ,    1.13918,    3.79520,    4.32100,    0.86719,    9.48001,   11.02060,   15.74714,    0.00060,   16.19837,    0.00164,   15.10869,    0.00129 
Ruprecht_147             , 1747095994958499373*, 9999.00000, 9999.00000, 9999.00000,    0.90283,    9.48001,   11.02060,   18.85125,    0.00132,   19.87088,    0.03716,   17.80602,    0.00947 
