#ClusterName              ,#ID                 ,       Mass,    LogTeff,       Logg,         Av,    Log age,    DistMod,          G,       sigG,         Bp,     sigBp,         Rp,      sigRp
ASCC_21                  , 1891097903137691200 ,    0.89707,    3.63660,    4.29400,    0.80575,    6.94988,   10.00000,   16.78745,    0.00070,   17.72756,    0.00527,   15.76092,    0.00195 
ASCC_21                  , 1891097903271908930*, 9999.00000, 9999.00000, 9999.00000,    0.72300,    6.94988,   10.00000,   14.21036,    0.00046,   14.73666,    0.00077,   13.49634,    0.00065 
ASCC_21                  , 1891097903137691204 ,    0.29115,    3.48060,    4.06900,    0.75048,    6.94988,   10.00000,   19.77348,    0.00296,   21.80135,    0.20615,   18.33749,    0.01620 
ASCC_21                  , 1891097903137691205 ,    1.37569,    3.73280,    4.20000,    0.66158,    6.94988,   10.00000,   14.65900,    0.00056,   15.20337,    0.00094,   13.93270,    0.00074 
ASCC_21                  , 1891097903271908935*, 9999.00000, 9999.00000, 9999.00000,    0.66782,    6.94988,   10.00000,   18.38863,    0.00102,   20.12590,    0.03977,   17.05833,    0.00534 
ASCC_21                  , 1891097903271908938A,    0.39476,    3.50460,    4.10400,    0.86039,    6.94988,   10.00000,   19.22067,    0.00201,   21.08011,    0.10665,   17.85700,    0.01032 
ASCC_21                  , 1891097903271908938B,    0.20800,    3.51500,    4.29400,    0.86039,    6.94988,   10.00000,   20.75386,    0.00649,   23.33895,    0.70325,   19.26153,    0.03708 
ASCC_21                  , 1891097903271908941*, 9999.00000, 9999.00000, 9999.00000,    0.79190,    6.94988,   10.00000,   20.44830,    0.00422,   24.17454,    0.56709,   18.96049,    0.02805 
ASCC_21                  , 1891097903137691215 ,    0.19481,    3.45040,    4.03200,    0.84456,    6.94988,   10.00000,   20.58731,    0.00565,   22.55502,    0.57082,   19.15835,    0.03221 
ASCC_21                  , 1891097903271908945A,    2.93950,    4.09660,    4.35700,    0.80628,    6.94988,   10.00000,   11.61463,    0.00054,   11.69031,    0.00047,   11.44474,    0.00048 
ASCC_21                  , 1891097903271908945B,    0.38200,    3.54500,    4.73000,    0.80628,    6.94988,   10.00000,   19.11651,    0.00187,   20.84187,    0.09366,   17.74771,    0.00950 
ASCC_21                  , 1891097903137691219 ,    0.33626,    3.49210,    4.08600,    0.70470,    6.94988,   10.00000,   19.32043,    0.00214,   21.08754,    0.11776,   17.94043,    0.01121 
ASCC_21                  , 1891097903271908949*, 9999.00000, 9999.00000, 9999.00000,    0.70678,    6.94988,   10.00000,   16.70094,    0.00057,   17.73510,    0.00501,   15.62972,    0.00182 
ASCC_21                  , 1891097903137691223 ,    0.19674,    3.45110,    4.03200,    0.79063,    6.94988,   10.00000,   20.57283,    0.00560,   23.32529,    0.56017,   19.12093,    0.03194 
ASCC_21                  , 1891097903271908953*, 9999.00000, 9999.00000, 9999.00000,    0.69595,    6.94988,   10.00000,   15.70904,    0.00050,   16.47901,    0.00192,   14.79615,    0.00111 
ASCC_21                  , 1891097903271908959*, 9999.00000, 9999.00000, 9999.00000,    0.76298,    6.94988,   10.00000,   18.99066,    0.00144,   21.02655,    0.08448,   17.58729,    0.00849 
ASCC_21                  , 1891097903271908968*, 9999.00000, 9999.00000, 9999.00000,    0.78503,    6.94988,   10.00000,   18.37143,    0.00101,   20.17827,    0.04031,   17.02417,    0.00523 
ASCC_21                  , 1891097903137691242 ,    0.18549,    3.44700,    4.02700,    0.75101,    6.94988,   10.00000,   20.95456,    0.00769,   24.24122,    0.89583,   19.41260,    0.04413 
ASCC_21                  , 1891097903137691243 ,    0.29978,    3.48300,    4.07200,    0.80178,    6.94988,   10.00000,   19.87407,    0.00319,   22.17011,    0.23464,   18.43542,    0.01760 
ASCC_21                  , 1891097903271908973A,    2.70723,    4.07220,    4.36200,    0.73520,    6.94988,   10.00000,   11.70282,    0.00054,   11.77079,    0.00047,   11.54616,    0.00048 
ASCC_21                  , 1891097903271908973B,    1.22100,    3.79600,    4.39400,    0.73520,    6.94988,   10.00000,   15.32496,    0.00058,   15.97142,    0.00142,   14.51290,    0.00094 
ASCC_21                  , 1891097903137691247 ,    2.16237,    4.00200,    4.36200,    0.71830,    6.94988,   10.00000,   12.23119,    0.00054,   12.31849,    0.00048,   12.04060,    0.00050 
ASCC_21                  , 1891097903137691248 ,    0.33223,    3.49110,    4.08500,    0.72792,    6.94988,   10.00000,   19.31162,    0.00213,   21.16227,    0.11649,   17.90278,    0.01111 
ASCC_21                  , 1891097903137691249 ,    0.24800,    3.46820,    4.05400,    0.77554,    6.94988,   10.00000,   20.22694,    0.00419,   23.22270,    0.35897,   18.80361,    0.02361 
ASCC_21                  , 1891097903137691250 ,    0.47223,    3.51970,    4.13000,    0.72321,    6.94988,   10.00000,   18.70878,    0.00146,   20.42031,    0.05670,   17.37852,    0.00687 
ASCC_21                  , 1891097903137691251 ,    0.18518,    3.44690,    4.02700,    0.56222,    6.94988,   10.00000,   20.81905,    0.00694,   23.13523,    0.75490,   19.28927,    0.03989 
ASCC_21                  , 1891097903137691252 ,    0.43157,    3.51190,    4.11600,    0.74244,    6.94988,   10.00000,   19.00004,    0.00174,   20.85359,    0.08079,   17.64309,    0.00865 
ASCC_21                  , 1891097903137691253 ,    0.23775,    3.46520,    4.05000,    0.68869,    6.94988,   10.00000,   20.07470,    0.00373,   22.45009,    0.29652,   18.67094,    0.02087 
ASCC_21                  , 1891097903137691254 ,    0.19149,    3.44920,    4.03000,    0.69952,    6.94988,   10.00000,   20.45522,    0.00508,   22.18670,    0.47852,   18.97722,    0.02890 
ASCC_21                  , 1891097903137691255 ,    0.27509,    3.47620,    4.06400,    0.82328,    6.94988,   10.00000,   20.10940,    0.00383,   22.47135,    0.31351,   18.65170,    0.02142 
ASCC_21                  , 1891097903271908985*, 9999.00000, 9999.00000, 9999.00000,    0.67939,    6.94988,   10.00000,   17.96476,    0.00084,   19.62448,    0.02584,   16.65185,    0.00384 
ASCC_21                  , 1891097903137691259 ,    0.48382,    3.52190,    4.13400,    0.67789,    6.94988,   10.00000,   18.73149,    0.00147,   20.50039,    0.05804,   17.38383,    0.00699 
ASCC_21                  , 1891097903137691263 ,    0.43311,    3.51220,    4.11700,    0.74332,    6.94988,   10.00000,   19.00867,    0.00175,   20.67832,    0.08160,   17.64550,    0.00870 
ASCC_21                  , 1891097903137691264 ,    0.51713,    3.52840,    4.14500,    0.82633,    6.94988,   10.00000,   18.51426,    0.00131,   20.12036,    0.04530,   17.20521,    0.00593 
ASCC_21                  , 1891097903137691265 ,    0.25608,    3.47060,    4.05700,    0.72715,    6.94988,   10.00000,   19.88233,    0.00321,   21.91876,    0.23498,   18.43836,    0.01773 
ASCC_21                  , 1891097903271908995*, 9999.00000, 9999.00000, 9999.00000,    0.79425,    6.94988,   10.00000,   19.54465,    0.00209,   21.61651,    0.16014,   18.11708,    0.01338 
ASCC_21                  , 1891097903137691269 ,    0.74540,    3.61260,    4.28400,    0.67811,    6.94988,   10.00000,   17.63305,    0.00088,   18.95369,    0.01500,   16.43923,    0.00319 
ASCC_21                  , 1891097903137691270 ,    0.71515,    3.58050,    4.22900,    0.76418,    6.94988,   10.00000,   17.31222,    0.00080,   18.43656,    0.00960,   16.19644,    0.00266 
ASCC_21                  , 1891097903137691271 ,    0.19563,    3.45070,    4.03200,    0.86563,    6.94988,   10.00000,   20.60503,    0.00576,   23.73577,    0.58858,   19.13577,    0.03283 
ASCC_21                  , 1891097903271909001*, 9999.00000, 9999.00000, 9999.00000,    0.73661,    6.94988,   10.00000,   16.86165,    0.00059,   17.84596,    0.00566,   15.81592,    0.00205 
ASCC_21                  , 1891097903137691275 ,    0.20335,    3.45340,    4.03600,    0.77226,    6.94988,   10.00000,   20.63231,    0.00592,   23.38276,    0.60776,   19.24332,    0.03382 
ASCC_21                  , 1891097903137691279 ,    0.47890,    3.52100,    4.13200,    0.79304,    6.94988,   10.00000,   18.78138,    0.00152,   20.52213,    0.06258,   17.45009,    0.00728 
ASCC_21                  , 1891097903271909009*, 9999.00000, 9999.00000, 9999.00000,    0.75820,    6.94988,   10.00000,   18.18922,    0.00093,   19.90773,    0.03234,   16.86664,    0.00457 
ASCC_21                  , 1891097903271909012A,    7.07612,    4.32280,    4.22700,    0.68502,    6.94988,   10.00000,    9.06650,    0.00054,    9.05791,    0.00046,    9.03607,    0.00047 
ASCC_21                  , 1891097903271909012B,    0.59000,    3.59700,    4.66900,    0.68502,    6.94988,   10.00000,   18.15137,    0.00109,   19.65377,    0.02876,   16.87460,    0.00453 
ASCC_21                  , 1891097903137691286 ,    0.36420,    3.49840,    4.09500,    0.67463,    6.94988,   10.00000,   19.21187,    0.00199,   21.06516,    0.10299,   17.85110,    0.01026 
ASCC_21                  , 1891097903137691287 ,    1.24995,    3.70280,    4.25500,    0.72700,    6.94988,   10.00000,   15.44712,    0.00058,   16.11580,    0.00156,   14.61940,    0.00099 
ASCC_21                  , 1891097903137691288 ,    0.27349,    3.47570,    4.06300,    0.78393,    6.94988,   10.00000,   20.06979,    0.00372,   22.10636,    0.29769,   18.59401,    0.02075 
ASCC_21                  , 1891097903137691289 ,    0.53196,    3.53120,    4.15000,    0.75488,    6.94988,   10.00000,   18.36203,    0.00121,   19.96939,    0.03742,   17.06250,    0.00529 
ASCC_21                  , 1891097903137691290 ,    0.26744,    3.47400,    4.06100,    0.68733,    6.94988,   10.00000,   19.94668,    0.00340,   22.07169,    0.25622,   18.51460,    0.01888 
ASCC_21                  , 1891097903137691291 ,    0.21333,    3.45700,    4.04000,    0.67049,    6.94988,   10.00000,   20.70369,    0.00619,   21.48466,    0.64405,   19.23305,    0.03548 
ASCC_21                  , 1891097903137691292 ,    0.81974,    3.62580,    4.29500,    0.84462,    6.94988,   10.00000,   16.92701,    0.00072,   17.91275,    0.00612,   15.88512,    0.00212 
ASCC_21                  , 1891097903137691293 ,    0.19971,    3.45210,    4.03400,    0.66304,    6.94988,   10.00000,   20.52909,    0.00540,   22.47419,    0.52326,   19.07191,    0.03081 
ASCC_21                  , 1891097903137691294 ,    3.60120,    4.15390,    4.33900,    0.79081,    6.94988,   10.00000,   10.88775,    0.00054,   10.94293,    0.00046,   10.75495,    0.00047 
